IL	il	Estimate	std_error	df	t_value	p_value	trait
IL05.2	5.2	-0.759352105	1.385177302	119.1229812	-0.54819849	0.584581479	eps13C_n.C33
IL05.4	5.4	-0.666666667	1.237144257	119.0196764	-0.538875449	0.590979321	eps13C_n.C33
IL05.5	5.5	-2.582899635	1.755996517	119.2770408	-1.470902482	0.143950731	eps13C_n.C33
IL06.1	6.1	-2.666666667	1.237144257	119.0196764	-2.155501795	0.033135812	eps13C_n.C33
IL06.2	6.2	-2.233333333	1.237144257	119.0196764	-1.805232753	0.073566243	eps13C_n.C33
IL06.2.2	6.2.2	-1.766666667	1.237144257	119.0196764	-1.428019939	0.155904889	eps13C_n.C33
IL06.3	6.3	-1.166666667	1.237144257	119.0196764	-0.943032035	0.347574821	eps13C_n.C33
IL06.4	6.4	-1.133333333	1.237144257	119.0196764	-0.916088263	0.361473024	eps13C_n.C33
IL07.2	7.2	-1.2	1.237144257	119.0196764	-0.969975808	0.334025602	eps13C_n.C33
IL07.3	7.3	-1.266666667	1.237144257	119.0196764	-1.023863353	0.307976327	eps13C_n.C33
IL07.4	7.4	-1.266666667	1.237144257	119.0196764	-1.023863353	0.307976327	eps13C_n.C33
IL07.4.1	7.4.1	-1.482097713	1.385091795	119.114392	-1.070035732	0.286766727	eps13C_n.C33
IL07.5	7.5	-1.4	1.237144257	119.0196764	-1.131638442	0.260061386	eps13C_n.C33
IL07.5.5	7.5.5	-1.008550183	1.385198678	119.1251252	-0.728090633	0.467986863	eps13C_n.C33
IL08.1	8.1	-1.866666667	1.237144257	119.0196764	-1.508851256	0.133986863	eps13C_n.C33
IL08.1.1	8.1.1	-1.7	1.237144257	119.0196764	-1.374132394	0.171982775	eps13C_n.C33
IL08.1.3	8.1.3	-2.182899635	1.755996517	119.2770408	-1.243111597	0.216264723	eps13C_n.C33
IL08.2.1	8.2.1	-1.433333333	1.237144257	119.0196764	-1.158582215	0.248945911	eps13C_n.C33
IL08.3	8.3	-0.233333333	1.237144257	119.0196764	-0.188606407	0.85072253	eps13C_n.C33
IL08.3.1	8.3.1	-3.3	1.237144257	119.0196764	-2.667433471	0.008707755	eps13C_n.C33
IL09.1	9.1	-0.866666667	1.237144257	119.0196764	-0.700538083	0.484958548	eps13C_n.C33
IL09.1.2	9.1.2	-1.566666667	1.237144257	119.0196764	-1.266357304	0.207858036	eps13C_n.C33
IL09.1.3	9.1.3	-3.366666667	1.237144257	119.0196764	-2.721321016	0.007478194	eps13C_n.C33
IL09.2	9.2	-2.066666667	1.237144257	119.0196764	-1.670513891	0.097445464	eps13C_n.C33
IL09.2.5	9.2.5	-1.233333333	1.237144257	119.0196764	-0.99691958	0.320826051	eps13C_n.C33
IL09.2.6	9.2.6	-1.108550183	1.385198678	119.1251252	-0.800282443	0.425140264	eps13C_n.C33
IL09.3	9.3	-2.766666667	1.237144257	119.0196764	-2.236333112	0.027193264	eps13C_n.C33
IL09.3.1	9.3.1	-3.4	1.237144257	119.0196764	-2.748264788	0.006924524	eps13C_n.C33
IL09.3.2	9.3.2	-0.433333333	1.237144257	119.0196764	-0.350269042	0.726755914	eps13C_n.C33
IL01.1	1.1	0.533333333	0.357224686	119.0315814	1.492991258	0.138085385	n31.i31
IL01.1.2	1.1.2	-0.066666667	0.357224686	119.0315814	-0.186623907	0.852273221	n31.i31
IL01.1.3	1.1.3	0.161506903	0.506731507	119.4463331	0.318722837	0.750493347	n31.i31
IL01.2	1.2	0.233333333	0.357224686	119.0315814	0.653183675	0.514897561	n31.i31
IL01.3	1.3	-0.230753452	0.399876621	119.2037125	-0.577061622	0.564986061	n31.i31
IL01.4	1.4	-0.3	0.357224686	119.0315814	-0.839807583	0.402699894	n31.i31
IL01.4.18	1.4.18	-0.266666667	0.357224686	119.0315814	-0.746495629	0.456839939	n31.i31
IL10.1	10.1	-0.166666667	0.357224686	119.0315814	-0.466559768	0.641667657	n31.i31
IL10.1.1	10.1.1	-0.195159506	0.399895492	119.2171001	-0.48802627	0.626427599	n31.i31
IL10.2	10.2	-0.266666667	0.357224686	119.0315814	-0.746495629	0.456839939	n31.i31
IL10.2.2	10.2.2	-0.533333333	0.357224686	119.0315814	-1.492991258	0.138085385	n31.i31
IL10.3	10.3	-0.624087043	0.39990021	119.2204391	-1.560606939	0.121267173	n31.i31
IL11.1	11.1	-0.2	0.357224686	119.0315814	-0.559871722	0.576619032	n31.i31
IL11.2	11.2	0.125912957	0.39990021	119.2204391	0.314860943	0.753417634	n31.i31
IL11.3	11.3	-0.109680989	0.506791072	119.4772876	-0.216422496	0.829027521	n31.i31
IL11.4	11.4	0.066666667	0.357224686	119.0315814	0.186623907	0.852273221	n31.i31
IL11.4.1	11.4.1	-0.166666667	0.357224686	119.0315814	-0.466559768	0.641667657	n31.i31
IL12.1	12.1	-0.045159506	0.399895492	119.2171001	-0.112928269	0.910277364	n31.i31
IL12.1.1	12.1.1	-0.166666667	0.357224686	119.0315814	-0.466559768	0.641667657	n31.i31
IL12.2	12.2	0.854840494	0.399895492	119.2171001	2.13765974	0.034586367	n31.i31
IL12.3	12.3	0.4	0.357224686	119.0315814	1.119743444	0.265077457	n31.i31
IL12.3.1	12.3.1	-0.166666667	0.357224686	119.0315814	-0.466559768	0.641667657	n31.i31
IL12.4	12.4	-0.166666667	0.357224686	119.0315814	-0.466559768	0.641667657	n31.i31
IL12.4.1	12.4.1	0.133333333	0.357224686	119.0315814	0.373247815	0.709627896	n31.i31
IL02.1	2.1	-0.024087043	0.39990021	119.2204391	-0.060232633	0.952071207	n31.i31
IL02.1.1	2.1.1	-0.074087043	0.39990021	119.2204391	-0.185263825	0.853336922	n31.i31
IL02.3	2.3	-0.466666667	0.357224686	119.0315814	-1.306367351	0.193946304	n31.i31
IL02.4	2.4	1.354840494	0.399895492	119.2171001	3.387986411	0.000954688	n31.i31
IL02.5	2.5	0.966666667	0.357224686	119.0315814	2.706046655	0.007809534	n31.i31
IL02.6	2.6	0.133333333	0.357224686	119.0315814	0.373247815	0.709627896	n31.i31
IL02.6.5	2.6.5	-0.095159506	0.399895492	119.2171001	-0.237960936	0.812319893	n31.i31
IL03.1	3.1	-0.066666667	0.357224686	119.0315814	-0.186623907	0.852273221	n31.i31
IL03.2	3.2	-0.6	0.357224686	119.0315814	-1.679615165	0.09565516	n31.i31
IL03.3	3.3	5.85E-14	0.357224686	119.0315814	1.64E-13	1	n31.i31
IL03.4	3.4	0.166666667	0.357224686	119.0315814	0.466559768	0.641667657	n31.i31
IL03.5	3.5	0.1	0.357224686	119.0315814	0.279935861	0.780012602	n31.i31
IL04.1	4.1	0.333333333	0.357224686	119.0315814	0.933119536	0.352647197	n31.i31
IL04.1.1	4.1.1	-0.651825915	0.506805962	119.4849771	-1.286144922	0.20087919	n31.i31
IL04.2	4.2	-0.133333333	0.357224686	119.0315814	-0.373247815	0.709627896	n31.i31
IL04.3	4.3	-1.224087043	0.39990021	119.2204391	-3.060981244	0.002726318	n31.i31
IL04.3.2	4.3.2	-0.666666667	0.357224686	119.0315814	-1.866239073	0.064469093	n31.i31
IL04.4	4.4	-0.333333333	0.357224686	119.0315814	-0.933119536	0.352647197	n31.i31
IL05.1	5.1	-0.133333333	0.357224686	119.0315814	-0.373247815	0.709627896	n31.i31
IL05.2	5.2	-0.545159506	0.399895492	119.2171001	-1.36325494	0.175371236	n31.i31
IL05.4	5.4	-0.233333333	0.357224686	119.0315814	-0.653183675	0.514897561	n31.i31
IL05.5	5.5	0.148174085	0.506805962	119.4849771	0.292368473	0.77051198	n31.i31
IL06.1	6.1	0.666666667	0.357224686	119.0315814	1.866239073	0.064469093	n31.i31
IL06.2	6.2	0.1	0.357224686	119.0315814	0.279935861	0.780012602	n31.i31
IL06.2.2	6.2.2	0.433333333	0.357224686	119.0315814	1.213055397	0.227510478	n31.i31
IL06.3	6.3	-0.2	0.357224686	119.0315814	-0.559871722	0.576619032	n31.i31
IL06.4	6.4	-0.4	0.357224686	119.0315814	-1.119743444	0.265077457	n31.i31
IL07.2	7.2	0.266666667	0.357224686	119.0315814	0.746495629	0.456839939	n31.i31
IL07.3	7.3	0.333333333	0.357224686	119.0315814	0.933119536	0.352647197	n31.i31
IL07.4	7.4	-0.266666667	0.357224686	119.0315814	-0.746495629	0.456839939	n31.i31
IL07.4.1	7.4.1	-0.080753452	0.399876621	119.2037125	-0.201945919	0.840303239	n31.i31
IL07.5	7.5	0.366666667	0.357224686	119.0315814	1.02643149	0.306769604	n31.i31
IL07.5.5	7.5.5	0.675912957	0.39990021	119.2204391	1.690204057	0.093602041	n31.i31
IL08.1	8.1	0.433333333	0.357224686	119.0315814	1.213055397	0.227510478	n31.i31
IL08.1.1	8.1.1	0.766666667	0.357224686	119.0315814	2.146174934	0.033888917	n31.i31
IL08.1.3	8.1.3	0.248174085	0.506805962	119.4849771	0.489682647	0.625256322	n31.i31
IL08.2.1	8.2.1	-0.166666667	0.357224686	119.0315814	-0.466559768	0.641667657	n31.i31
IL08.3	8.3	-0.166666667	0.357224686	119.0315814	-0.466559768	0.641667657	n31.i31
IL08.3.1	8.3.1	0.566666667	0.357224686	119.0315814	1.586303212	0.115323587	n31.i31
IL09.1	9.1	-0.366666667	0.357224686	119.0315814	-1.02643149	0.306769604	n31.i31
IL09.1.2	9.1.2	0.333333333	0.357224686	119.0315814	0.933119536	0.352647197	n31.i31
IL09.1.3	9.1.3	0.566666667	0.357224686	119.0315814	1.586303212	0.115323587	n31.i31
IL09.2	9.2	0.566666667	0.357224686	119.0315814	1.586303212	0.115323587	n31.i31
IL09.2.5	9.2.5	5.87E-14	0.357224686	119.0315814	1.64E-13	1	n31.i31
IL09.2.6	9.2.6	0.225912957	0.39990021	119.2204391	0.564923327	0.573187381	n31.i31
IL09.3	9.3	0.066666667	0.357224686	119.0315814	0.186623907	0.852273221	n31.i31
IL09.3.1	9.3.1	0.466666667	0.357224686	119.0315814	1.306367351	0.193946304	n31.i31
IL09.3.2	9.3.2	-0.866666667	0.357224686	119.0315814	-2.426110794	0.016761978	n31.i31
IL01.1	1.1	0.311756468	0.191217869	119.0000488	1.630373089	0.105666733	n33.i33
IL01.1.2	1.1.2	0.020954278	0.191217869	119.0000488	0.109583264	0.912924466	n33.i33
IL01.1.3	1.1.3	0.234393222	0.270422904	119.0000488	0.866765421	0.387814886	n33.i33
IL01.2	1.2	0.181166575	0.191217869	119.0000488	0.947435384	0.345336943	n33.i33
IL01.3	1.3	-0.157756134	0.213788077	119.0000488	-0.737908943	0.462022445	n33.i33
IL01.4	1.4	-0.364790623	0.191217869	119.0000488	-1.907722454	0.058836952	n33.i33
IL01.4.18	1.4.18	-0.091516652	0.191217869	119.0000488	-0.478598851	0.633102208	n33.i33
IL10.1	10.1	-0.16634822	0.191217869	119.0000488	-0.869940771	0.386084165	n33.i33
IL10.1.1	10.1.1	-0.213894514	0.213788077	119.0000488	-1.000497863	0.319099729	n33.i33
IL10.2	10.2	-0.336316241	0.191217869	119.0000488	-1.758811781	0.081179964	n33.i33
IL10.2.2	10.2.2	-0.304698439	0.191217869	119.0000488	-1.59346216	0.113709285	n33.i33
IL10.3	10.3	-0.200914027	0.213788077	119.0000488	-0.939781256	0.349233465	n33.i33
IL11.1	11.1	0.097654937	0.191217869	119.0000488	0.510699852	0.610507352	n33.i33
IL11.2	11.2	-0.003202783	0.213788077	119.0000488	-0.01498111	0.988072339	n33.i33
IL11.3	11.3	0.161820446	0.270422904	119.0000488	0.598397709	0.550711872	n33.i33
IL11.4	11.4	0.030123446	0.191217869	119.0000488	0.157534683	0.875090467	n33.i33
IL11.4.1	11.4.1	-0.026365203	0.191217869	119.0000488	-0.137880436	0.890567946	n33.i33
IL12.1	12.1	-0.113870713	0.213788077	119.0000488	-0.5326336	0.595280432	n33.i33
IL12.1.1	12.1.1	0.082301561	0.191217869	119.0000488	0.430407268	0.667677911	n33.i33
IL12.2	12.2	0.136356475	0.213788077	119.0000488	0.637811412	0.524821831	n33.i33
IL12.3	12.3	0.083811966	0.191217869	119.0000488	0.438306139	0.661959018	n33.i33
IL12.3.1	12.3.1	-0.091736139	0.191217869	119.0000488	-0.479746685	0.632288107	n33.i33
IL12.4	12.4	-0.040516138	0.191217869	119.0000488	-0.211884683	0.832559477	n33.i33
IL12.4.1	12.4.1	0.024854798	0.191217869	119.0000488	0.129981566	0.896800471	n33.i33
IL02.1	2.1	-0.080686504	0.213788077	119.0000488	-0.377413491	0.706538602	n33.i33
IL02.1.1	2.1.1	-0.022960384	0.213788077	119.0000488	-0.107397871	0.914654202	n33.i33
IL02.3	2.3	-0.176414604	0.191217869	119.0000488	-0.9225843	0.358090659	n33.i33
IL02.4	2.4	0.352440743	0.213788077	119.0000488	1.648551914	0.101877156	n33.i33
IL02.5	2.5	0.16693702	0.191217869	119.0000488	0.873019981	0.384410413	n33.i33
IL02.6	2.6	0.015213343	0.191217869	119.0000488	0.079560259	0.936720643	n33.i33
IL02.6.5	2.6.5	-0.27350353	0.213788077	119.0000488	-1.279320782	0.203272975	n33.i33
IL03.1	3.1	-0.14799436	0.191217869	119.0000488	-0.773956745	0.440491258	n33.i33
IL03.2	3.2	-0.344592378	0.191217869	119.0000488	-1.802092973	0.074062259	n33.i33
IL03.3	3.3	-0.123826704	0.191217869	119.0000488	-0.647568682	0.518511311	n33.i33
IL03.4	3.4	0.159741973	0.213788077	119.0000488	0.747197763	0.456418054	n33.i33
IL03.5	3.5	0.028189815	0.191217869	119.0000488	0.147422495	0.883048037	n33.i33
IL04.1	4.1	0.156211806	0.191217869	119.0000488	0.816931008	0.415600341	n33.i33
IL04.1.1	4.1.1	-0.231137042	0.270422904	119.0000488	-0.854724356	0.39442125	n33.i33
IL04.2	4.2	0.044807175	0.191217869	119.0000488	0.23432525	0.815135168	n33.i33
IL04.3	4.3	-0.237085903	0.213788077	119.0000488	-1.108976265	0.269676595	n33.i33
IL04.3.2	4.3.2	0.104555432	0.213788077	119.0000488	0.489061101	0.625698621	n33.i33
IL04.4	4.4	-0.264282169	0.191217869	119.0000488	-1.382099749	0.16952988	n33.i33
IL05.1	5.1	-0.028521895	0.191217869	119.0000488	-0.149159149	0.881680541	n33.i33
IL05.2	5.2	-0.205478691	0.213788077	119.0000488	-0.961132606	0.338434379	n33.i33
IL05.4	5.4	-0.19030058	0.191217869	119.0000488	-0.995202911	0.321656932	n33.i33
IL05.5	5.5	0.085090724	0.270422904	119.0000488	0.314657976	0.753572386	n33.i33
IL06.1	6.1	0.18505264	0.191217869	119.0000488	0.967758093	0.335127948	n33.i33
IL06.2	6.2	0.251908849	0.191217869	119.0000488	1.317391782	0.190238219	n33.i33
IL06.2.2	6.2.2	0.065434152	0.191217869	119.0000488	0.342196846	0.732806384	n33.i33
IL06.3	6.3	-0.099920648	0.191217869	119.0000488	-0.522548693	0.602259831	n33.i33
IL06.4	6.4	0.047940184	0.191217869	119.0000488	0.250709749	0.802470884	n33.i33
IL07.2	7.2	0.161475041	0.191217869	119.0000488	0.84445581	0.400109241	n33.i33
IL07.3	7.3	0.092009919	0.191217869	119.0000488	0.481178454	0.631273259	n33.i33
IL07.4	7.4	-0.246404895	0.191217869	119.0000488	-1.288608099	0.200034004	n33.i33
IL07.4.1	7.4.1	-0.003495676	0.213788077	119.0000488	-0.016351126	0.986981653	n33.i33
IL07.5	7.5	-0.089349018	0.191217869	119.0000488	-0.467262913	0.641166258	n33.i33
IL07.5.5	7.5.5	-0.003495676	0.213788077	119.0000488	-0.016351126	0.986981653	n33.i33
IL08.1	8.1	0.256577502	0.191217869	119.0000488	1.341807139	0.182213311	n33.i33
IL08.1.1	8.1.1	0.373165338	0.191217869	119.0000488	1.951519175	0.053344982	n33.i33
IL08.1.3	8.1.3	0.161820446	0.270422904	119.0000488	0.598397709	0.550711872	n33.i33
IL08.2.1	8.2.1	-0.070100441	0.191217869	119.0000488	-0.366599844	0.714568543	n33.i33
IL08.3	8.3	0.127842215	0.191217869	119.0000488	0.668568347	0.505065687	n33.i33
IL08.3.1	8.3.1	0.31592127	0.191217869	119.0000488	1.652153491	0.101139528	n33.i33
IL09.1	9.1	-0.08912878	0.191217869	119.0000488	-0.466111148	0.641988016	n33.i33
IL09.1.2	9.1.2	-0.127382915	0.191217869	119.0000488	-0.666166378	0.506594138	n33.i33
IL09.1.3	9.1.3	0.054178648	0.191217869	119.0000488	0.283334651	0.777412636	n33.i33
IL09.2	9.2	0.122921994	0.191217869	119.0000488	0.642837381	0.521566316	n33.i33
IL09.2.5	9.2.5	-0.211391141	0.191217869	119.0000488	-1.105498885	0.271173517	n33.i33
IL09.2.6	9.2.6	-0.088212362	0.213788077	119.0000488	-0.412615911	0.680630478	n33.i33
IL09.3	9.3	0.044470332	0.191217869	119.0000488	0.232563686	0.816499738	n33.i33
IL09.3.1	9.3.1	0.2053575	0.191217869	119.0000488	1.073945136	0.285020119	n33.i33
IL09.3.2	9.3.2	-0.234266998	0.191217869	119.0000488	-1.225131309	0.222945168	n33.i33
IL01.1	1.1	3.72E-15	0.000697154	130.9420522	5.33E-12	1	nalk_ACL
IL01.1.2	1.1.2	-0.000701937	0.000697154	130.9420522	-1.006860689	0.315858709	nalk_ACL
IL01.1.3	1.1.3	-0.000699332	0.000989487	131.0563084	-0.706762178	0.480968989	nalk_ACL
IL01.2	1.2	-0.000350908	0.000697154	130.9420522	-0.503343001	0.615568818	nalk_ACL
IL01.3	1.3	-0.000176878	0.00078057	130.9883146	-0.226601065	0.821087205	nalk_ACL
IL01.4	1.4	4.87E-07	0.000697154	130.9420522	0.000698753	0.999443539	nalk_ACL
IL01.4.18	1.4.18	0.000351152	0.000697154	130.9420522	0.503693117	0.615323401	nalk_ACL
IL10.1	10.1	0.000351029	0.000697154	130.9420522	0.503517688	0.615446364	nalk_ACL
IL10.1.1	10.1.1	-5.85E-05	0.00078062	130.9924302	-0.074918995	0.940393455	nalk_ACL
IL10.2	10.2	0.000351029	0.000697154	130.9420522	0.503517688	0.615446364	nalk_ACL
IL10.2.2	10.2.2	-0.000350908	0.000697154	130.9420522	-0.503343001	0.615568818	nalk_ACL
IL10.3	10.3	0.000702059	0.000697154	130.9420522	1.007035377	0.315775077	nalk_ACL
IL11.1	11.1	0.000702181	0.000697154	130.9420522	1.007210806	0.315691105	nalk_ACL
IL11.2	11.2	0.000235361	0.000780557	130.9872849	0.301529687	0.763488786	nalk_ACL
IL11.3	11.3	0.000702181	0.000697154	130.9420522	1.007210806	0.315691105	nalk_ACL
IL11.4	11.4	0.000702181	0.000697154	130.9420522	1.007210806	0.315691105	nalk_ACL
IL11.4.1	11.4.1	-0.000351029	0.000697154	130.9420522	-0.503517688	0.615446364	nalk_ACL
IL12.1	12.1	-0.001111389	0.00078062	130.9924302	-1.423726121	0.156903378	nalk_ACL
IL12.1.1	12.1.1	3.72E-15	0.000697154	130.9420522	5.33E-12	1	nalk_ACL
IL12.2	12.2	-5.85E-05	0.00078062	130.9924302	-0.074918995	0.940393455	nalk_ACL
IL12.3	12.3	0.000351029	0.000697154	130.9420522	0.503517688	0.615446364	nalk_ACL
IL12.3.1	12.3.1	0.000351273	0.000697154	130.9420522	0.503867805	0.615200969	nalk_ACL
IL12.4	12.4	3.72E-15	0.000697154	130.9420522	5.33E-12	1	nalk_ACL
IL12.4.1	12.4.1	0.00105321	0.000697154	130.9420522	1.510728494	0.133267128	nalk_ACL
IL02.1	2.1	-0.000351029	0.000697154	130.9420522	-0.503517688	0.615446364	nalk_ACL
IL02.1.1	2.1.1	0.000351029	0.000697154	130.9420522	0.503517688	0.615446364	nalk_ACL
IL02.3	2.3	0.000702181	0.000697154	130.9420522	1.007210806	0.315691105	nalk_ACL
IL02.4	2.4	0.000994788	0.00078062	130.9924302	1.274357153	0.204792977	nalk_ACL
IL02.5	2.5	0.002809708	0.000697154	130.9420522	4.030254094	9.40E-05	nalk_ACL
IL02.6	2.6	-0.000351029	0.000697154	130.9420522	-0.503517688	0.615446364	nalk_ACL
IL02.6.5	2.6.5	-5.85E-05	0.00078062	130.9924302	-0.074918995	0.940393455	nalk_ACL
IL03.1	3.1	-0.000351029	0.000697154	130.9420522	-0.503517688	0.615446364	nalk_ACL
IL03.2	3.2	3.72E-15	0.000697154	130.9420522	5.33E-12	1	nalk_ACL
IL03.3	3.3	3.76E-15	0.000697154	130.9420522	5.39E-12	1	nalk_ACL
IL03.4	3.4	0.000702181	0.000697154	130.9420522	1.007210806	0.315691105	nalk_ACL
IL03.5	3.5	0.000351152	0.000697154	130.9420522	0.503693117	0.615323401	nalk_ACL
IL04.1	4.1	0.000351029	0.000697154	130.9420522	0.503517688	0.615446364	nalk_ACL
IL04.1.1	4.1.1	-0.002575804	0.000989448	131.0537905	-2.603273986	0.010298214	nalk_ACL
IL04.2	4.2	-0.001403631	0.000697154	130.9420522	-2.013372741	0.046125288	nalk_ACL
IL04.3	4.3	-0.000350908	0.000697154	130.9420522	-0.503343001	0.615568818	nalk_ACL
IL04.3.2	4.3.2	-0.001754296	0.000697154	130.9420522	-2.516368581	0.013064938	nalk_ACL
IL04.4	4.4	0.000702059	0.000697154	130.9420522	1.007035377	0.315775077	nalk_ACL
IL05.1	5.1	0.000702059	0.000697154	130.9420522	1.007035377	0.315775077	nalk_ACL
IL05.2	5.2	0.000994788	0.00078062	130.9924302	1.274357153	0.204792977	nalk_ACL
IL05.4	5.4	-0.001052723	0.000697154	130.9420522	-1.510029741	0.133445195	nalk_ACL
IL05.5	5.5	-0.000470722	0.000989448	131.0537905	-0.475742417	0.635049957	nalk_ACL
IL06.1	6.1	0.001404362	0.000697154	130.9420522	2.014421611	0.046013635	nalk_ACL
IL06.2	6.2	0.000702181	0.000697154	130.9420522	1.007210806	0.315691105	nalk_ACL
IL06.2.2	6.2.2	1.22E-07	0.000697154	130.9420522	0.000174688	0.999860885	nalk_ACL
IL06.3	6.3	0.000351029	0.000697154	130.9420522	0.503517688	0.615446364	nalk_ACL
IL06.4	6.4	-0.000350908	0.000697154	130.9420522	-0.503343001	0.615568818	nalk_ACL
IL07.2	7.2	3.72E-15	0.000697154	130.9420522	5.33E-12	1	nalk_ACL
IL07.3	7.3	0.000351029	0.000697154	130.9420522	0.503517688	0.615446364	nalk_ACL
IL07.4	7.4	0.000351029	0.000697154	130.9420522	0.503517688	0.615446364	nalk_ACL
IL07.4.1	7.4.1	0.000349666	0.00078057	130.9883146	0.447962707	0.654920133	nalk_ACL
IL07.5	7.5	0.000702181	0.000697154	130.9420522	1.007210806	0.315691105	nalk_ACL
IL07.5.5	7.5.5	0.00105321	0.000697154	130.9420522	1.510728494	0.133267128	nalk_ACL
IL08.1	8.1	0.000702181	0.000697154	130.9420522	1.007210806	0.315691105	nalk_ACL
IL08.1.1	8.1.1	3.72E-15	0.000697154	130.9420522	5.33E-12	1	nalk_ACL
IL08.1.3	8.1.3	0.000582366	0.000989448	131.0537905	0.58857646	0.557158472	nalk_ACL
IL08.2.1	8.2.1	-0.00070133	0.000697154	130.9420522	-1.005990204	0.316275673	nalk_ACL
IL08.3	8.3	3.72E-15	0.000697154	130.9420522	5.33E-12	1	nalk_ACL
IL08.3.1	8.3.1	-0.000350908	0.000697154	130.9420522	-0.503343001	0.615568818	nalk_ACL
IL09.1	9.1	0.000351029	0.000697154	130.9420522	0.503517688	0.615446364	nalk_ACL
IL09.1.2	9.1.2	3.72E-15	0.000697154	130.9420522	5.33E-12	1	nalk_ACL
IL09.1.3	9.1.3	0.001404362	0.000697154	130.9420522	2.014421611	0.046013635	nalk_ACL
IL09.2	9.2	0.000702181	0.000697154	130.9420522	1.007210806	0.315691105	nalk_ACL
IL09.2.5	9.2.5	0.000702181	0.000697154	130.9420522	1.007210806	0.315691105	nalk_ACL
IL09.2.6	9.2.6	0.000351029	0.000697154	130.9420522	0.503517688	0.615446364	nalk_ACL
IL09.3	9.3	-0.001052845	0.000697154	130.9420522	-1.51020369	0.133400849	nalk_ACL
IL09.3.1	9.3.1	-0.001754296	0.000697154	130.9420522	-2.516368581	0.013064938	nalk_ACL
IL09.3.2	9.3.2	1.22E-07	0.000697154	130.9420522	0.000174688	0.999860885	nalk_ACL
IL01.1	1.1	0.116107657	0.062208818	126.9953003	1.866417972	0.064289321	nalk_CPI
IL01.1.2	1.1.2	-0.031219992	0.062208818	126.9953003	-0.501857979	0.616636396	nalk_CPI
IL01.1.3	1.1.3	-0.150868005	0.088295877	127.0950202	-1.708664203	0.089954149	nalk_CPI
IL01.2	1.2	0.178017206	0.062208818	126.9953003	2.861607244	0.004930944	nalk_CPI
IL01.3	1.3	0.19405623	0.069652662	127.0356532	2.786056191	0.006153619	nalk_CPI
IL01.4	1.4	-0.099616475	0.062208818	126.9953003	-1.601324011	0.111789804	nalk_CPI
IL01.4.18	1.4.18	-0.011587066	0.062208818	126.9953003	-0.186260826	0.852537426	nalk_CPI
IL10.1	10.1	0.059223578	0.062208818	126.9953003	0.952012587	0.342899014	nalk_CPI
IL10.1.1	10.1.1	0.083124494	0.069657163	127.0392611	1.193337342	0.234961089	nalk_CPI
IL10.2	10.2	0.2911143	0.062208818	126.9953003	4.679630754	7.25E-06	nalk_CPI
IL10.2.2	10.2.2	0.19050542	0.062208818	126.9953003	3.06235394	0.0026813	nalk_CPI
IL10.3	10.3	-0.067527283	0.062208818	126.9953003	-1.085493736	0.279759281	nalk_CPI
IL11.1	11.1	0.114447315	0.062208818	126.9953003	1.839728152	0.068143336	nalk_CPI
IL11.2	11.2	-0.027740462	0.069651537	127.0347506	-0.398274951	0.691096094	nalk_CPI
IL11.3	11.3	0.036883553	0.062208818	126.9953003	0.59289911	0.554303018	nalk_CPI
IL11.4	11.4	0.031341175	0.062208818	126.9953003	0.50380598	0.615270576	nalk_CPI
IL11.4.1	11.4.1	0.028566386	0.062208818	126.9953003	0.459201545	0.646874475	nalk_CPI
IL12.1	12.1	0.036659173	0.069657163	127.0392611	0.526280011	0.599611264	nalk_CPI
IL12.1.1	12.1.1	0.05490596	0.062208818	126.9953003	0.882607346	0.379116077	nalk_CPI
IL12.2	12.2	0.028919845	0.069657163	127.0392611	0.415174023	0.678714856	nalk_CPI
IL12.3	12.3	0.123674793	0.062208818	126.9953003	1.98805886	0.048955827	nalk_CPI
IL12.3.1	12.3.1	0.04904467	0.062208818	126.9953003	0.788387747	0.431939137	nalk_CPI
IL12.4	12.4	0.096687427	0.062208818	126.9953003	1.554239884	0.122615807	nalk_CPI
IL12.4.1	12.4.1	0.013404358	0.062208818	126.9953003	0.215473606	0.829743763	nalk_CPI
IL02.1	2.1	0.044585295	0.062208818	126.9953003	0.716703773	0.474872904	nalk_CPI
IL02.1.1	2.1.1	0.089381978	0.062208818	126.9953003	1.436805589	0.153232325	nalk_CPI
IL02.3	2.3	0.064074394	0.062208818	126.9953003	1.029988918	0.304972869	nalk_CPI
IL02.4	2.4	0.009807083	0.069657163	127.0392611	0.140790734	0.888258261	nalk_CPI
IL02.5	2.5	0.039470623	0.062208818	126.9953003	0.634485979	0.526905052	nalk_CPI
IL02.6	2.6	0.00833716	0.062208818	126.9953003	0.134018938	0.893599754	nalk_CPI
IL02.6.5	2.6.5	-0.001527317	0.069657163	127.0392611	-0.021926199	0.982541228	nalk_CPI
IL03.1	3.1	0.06674766	0.062208818	126.9953003	1.07296139	0.285323061	nalk_CPI
IL03.2	3.2	-0.009250856	0.062208818	126.9953003	-0.148706504	0.882021104	nalk_CPI
IL03.3	3.3	-0.022685967	0.062208818	126.9953003	-0.364674449	0.715960982	nalk_CPI
IL03.4	3.4	-0.093385764	0.062208818	126.9953003	-1.501166008	0.135794889	nalk_CPI
IL03.5	3.5	0.059291972	0.062208818	126.9953003	0.953112017	0.342343911	nalk_CPI
IL04.1	4.1	0.077965292	0.062208818	126.9953003	1.253283607	0.212405029	nalk_CPI
