IL	il	Estimate	std_error	df	t_value	p_value	trait
IL09.1	9.1	0.013858863	0.010992167	119.0318945	1.260794345	0.209848653	eps13C_i.C31
IL09.1.2	9.1.2	0.013877394	0.010992167	119.0318945	1.262480261	0.209243827	eps13C_i.C31
IL09.1.3	9.1.3	0.0298101	0.010992167	119.0318945	2.711940127	0.0076801	eps13C_i.C31
IL09.2	9.2	0.016224666	0.010992167	119.0318945	1.476020645	0.142578873	eps13C_i.C31
IL09.2.5	9.2.5	0.012866771	0.010992167	119.0318945	1.170539891	0.244121921	eps13C_i.C31
IL09.2.6	9.2.6	0.01035796	0.012307786	119.1323692	0.841577864	0.401710447	eps13C_i.C31
IL09.3	9.3	0.025419228	0.010992167	119.0318945	2.312485525	0.022468939	eps13C_i.C31
IL09.3.1	9.3.1	0.029454752	0.010992167	119.0318945	2.679612768	0.00841475	eps13C_i.C31
IL09.3.2	9.3.2	0.010808246	0.010992167	119.0318945	0.98326795	0.327469955	eps13C_i.C31
IL01.1	1.1	0.300290562	0.14191682	117.0108358	2.115961749	0.036468055	eps13C_i.C33
IL01.1.2	1.1.2	0.178267652	0.14191682	117.0108358	1.256141815	0.211566795	eps13C_i.C33
IL01.1.3	1.1.3	0.22789389	0.201425671	117.2346377	1.131404394	0.260193995	eps13C_i.C33
IL01.2	1.2	0.093072295	0.14191682	117.0108358	0.655822861	0.513225575	eps13C_i.C33
IL01.3	1.3	0.294668832	0.158897335	117.102271	1.854460503	0.0661891	eps13C_i.C33
IL01.4	1.4	0.251043868	0.14191682	117.0108358	1.768950771	0.079507609	eps13C_i.C33
IL01.4.18	1.4.18	0.333993086	0.14191682	117.0108358	2.353442575	0.020268554	eps13C_i.C33
IL10.1	10.1	-0.053805338	0.14191682	117.0108358	-0.379132915	0.705276288	eps13C_i.C33
IL10.1.1	10.1.1	0.263516946	0.158902501	117.1064124	1.658356187	0.099921831	eps13C_i.C33
IL10.2	10.2	0.156695191	0.14191682	117.0108358	1.104134034	0.271800406	eps13C_i.C33
IL10.2.2	10.2.2	0.351884347	0.14191682	117.0108358	2.479511222	0.014580471	eps13C_i.C33
IL10.3	10.3	0.194496413	0.158905084	117.1084813	1.223978541	0.223417108	eps13C_i.C33
IL11.1	11.1	0.122381582	0.14191682	117.0108358	0.862347268	0.390260378	eps13C_i.C33
IL11.2	11.2	0.122257356	0.158905084	117.1084813	0.769373468	0.443220657	eps13C_i.C33
IL11.3	11.3	0.172866044	0.201441973	117.2445672	0.858143122	0.392564342	eps13C_i.C33
