IL	il	Estimate	std_error	df	t_value	p_value	trait
IL07.4.1	7.4.1	-0.004933049	0.058927756	127.0593393	-0.083713509	0.933415965	anteiso_CPI
IL07.5	7.5	-0.03	0.05263242	126.9967562	-0.569990896	0.569690844	anteiso_CPI
IL07.5.5	7.5.5	0.03	0.05263242	126.9967562	0.569990896	0.569690844	anteiso_CPI
IL08.1	8.1	-0.013333333	0.05263242	126.9967562	-0.253329287	0.800423402	anteiso_CPI
IL08.1.1	8.1.1	0.01	0.05263242	126.9967562	0.189996965	0.849614865	anteiso_CPI
IL08.1.3	8.1.3	-0.185734865	0.074692605	127.147514	-2.486656672	0.014191171	anteiso_CPI
IL08.2.1	8.2.1	0.026666667	0.05263242	126.9967562	0.506658574	0.613272933	anteiso_CPI
IL08.3	8.3	-0.003333333	0.05263242	126.9967562	-0.063332322	0.949601453	anteiso_CPI
IL08.3.1	8.3.1	-0.003333333	0.05263242	126.9967562	-0.063332322	0.949601453	anteiso_CPI
IL09.1	9.1	-0.016666667	0.05263242	126.9967562	-0.316661609	0.752020311	anteiso_CPI
IL09.1.2	9.1.2	0.013333333	0.05263242	126.9967562	0.253329287	0.800423402	anteiso_CPI
IL09.1.3	9.1.3	-0.156666667	0.05263242	126.9967562	-2.976619122	0.003490748	anteiso_CPI
IL09.2	9.2	0.063333333	0.05263242	126.9967562	1.203314113	0.231093141	anteiso_CPI
IL09.2.5	9.2.5	7.84E-15	0.05263242	126.9967562	1.49E-13	1	anteiso_CPI
IL09.2.6	9.2.6	-0.033333333	0.05263242	126.9967562	-0.633323218	0.527661472	anteiso_CPI
IL09.3	9.3	0.053333333	0.05263242	126.9967562	1.013317148	0.312835393	anteiso_CPI
IL09.3.1	9.3.1	-0.063333333	0.05263242	126.9967562	-1.203314113	0.231093141	anteiso_CPI
IL09.3.2	9.3.2	-0.06	0.05263242	126.9967562	-1.139981792	0.256439343	anteiso_CPI
IL01.1	1.1	-0.002109504	0.000910216	129.2955158	-2.317587529	0.022042844	iso_ACL
IL01.1.2	1.1.2	-0.001758107	0.000910216	129.2955158	-1.931527535	0.055605854	iso_ACL
IL01.1.3	1.1.3	-0.002292765	0.001292042	129.3464298	-1.77452886	0.078328202	iso_ACL
IL01.2	1.2	-0.002812301	0.000910216	129.2955158	-3.08970809	0.002453457	iso_ACL
IL01.3	1.3	-0.002545156	0.001019172	129.3160451	-2.497277843	0.013770939	iso_ACL
IL01.4	1.4	-0.001405965	0.000910216	129.2955158	-1.544650504	0.124874923	iso_ACL
IL01.4.18	1.4.18	-0.000703168	0.000910216	129.2955158	-0.772528793	0.441211168	iso_ACL
IL10.1	10.1	-0.000703293	0.000910216	129.2955158	-0.77266602	0.441130218	iso_ACL
IL10.1.1	10.1.1	-0.000986866	0.001019242	129.3179384	-0.968235002	0.33473438	iso_ACL
IL10.2	10.2	-0.001757983	0.000910216	129.2955158	-1.931391458	0.05562284	iso_ACL
IL10.2.2	10.2.2	-0.002109504	0.000910216	129.2955158	-2.317587529	0.022042844	iso_ACL
IL10.3	10.3	-0.000351771	0.000910216	129.2955158	-0.386469948	0.699783923	iso_ACL
IL11.1	11.1	3.75E-07	0.000910216	129.2955158	0.000411681	0.999672161	iso_ACL
IL11.2	11.2	-0.001214642	0.001019155	129.3155716	-1.191813336	0.235517089	iso_ACL
IL11.3	11.3	-0.000351522	0.000910216	129.2955158	-0.386196071	0.699986232	iso_ACL
IL11.4	11.4	-0.001054939	0.000910216	129.2955158	-1.158998742	0.248592752	iso_ACL
IL11.4.1	11.4.1	-0.001757983	0.000910216	129.2955158	-1.931391458	0.05562284	iso_ACL
IL12.1	12.1	-0.0025689	0.001019242	129.3179384	-2.520402455	0.012938508	iso_ACL
IL12.1.1	12.1.1	-0.001054939	0.000910216	129.2955158	-1.158998742	0.248592752	iso_ACL
IL12.2	12.2	-0.000986866	0.001019242	129.3179384	-0.968235002	0.33473438	iso_ACL
IL12.3	12.3	-0.001054939	0.000910216	129.2955158	-1.158998742	0.248592752	iso_ACL
IL12.3.1	12.3.1	-0.001406337	0.000910216	129.2955158	-1.545058736	0.124776176	iso_ACL
IL12.4	12.4	-0.001757983	0.000910216	129.2955158	-1.931391458	0.05562284	iso_ACL
IL12.4.1	12.4.1	-0.000351771	0.000910216	129.2955158	-0.386469948	0.699783923	iso_ACL
IL02.1	2.1	-0.001406585	0.000910216	129.2955158	-1.545331464	0.124710241	iso_ACL
IL02.1.1	2.1.1	-0.001054939	0.000910216	129.2955158	-1.158998742	0.248592752	iso_ACL
IL02.3	2.3	-0.000703417	0.000910216	129.2955158	-0.772802671	0.441049615	iso_ACL
IL02.4	2.4	-0.000986866	0.001019242	129.3179384	-0.968235002	0.33473438	iso_ACL
IL02.5	2.5	0.001056068	0.000910216	129.2955158	1.160238984	0.248089406	iso_ACL
IL02.6	2.6	-0.001055063	0.000910216	129.2955158	-1.159135393	0.248537258	iso_ACL
IL02.6.5	2.6.5	-0.002041617	0.001019242	129.3179384	-2.003074321	0.047259894	iso_ACL
IL03.1	3.1	-0.002109628	0.000910216	129.2955158	-2.317723606	0.022035202	iso_ACL
IL03.2	3.2	-0.001406585	0.000910216	129.2955158	-1.545331464	0.124710241	iso_ACL
IL03.3	3.3	-0.000703417	0.000910216	129.2955158	-0.772802671	0.441049615	iso_ACL
IL03.4	3.4	-0.000703168	0.000910216	129.2955158	-0.772528793	0.441211168	iso_ACL
IL03.5	3.5	-0.001406337	0.000910216	129.2955158	-1.545058736	0.124776176	iso_ACL
IL04.1	4.1	-0.000703417	0.000910216	129.2955158	-0.772802671	0.441049615	iso_ACL
IL04.1.1	4.1.1	-0.003899228	0.001291987	129.345262	-3.018009519	0.003065251	iso_ACL
IL04.2	4.2	-0.002812177	0.000910216	129.2955158	-3.089572014	0.002454503	iso_ACL
IL04.3	4.3	-0.002109257	0.000910216	129.2955158	-2.317315948	0.022058103	iso_ACL
IL04.3.2	4.3.2	-0.003864406	0.000910216	129.2955158	-4.245593595	4.13E-05	iso_ACL
IL04.4	4.4	-0.001757858	0.000910216	129.2955158	-1.931254807	0.055639903	iso_ACL
IL05.1	5.1	-0.000351771	0.000910216	129.2955158	-0.386469948	0.699783923	iso_ACL
IL05.2	5.2	-0.000986866	0.001019242	129.3179384	-0.968235002	0.33473438	iso_ACL
IL05.4	5.4	-0.002460779	0.000910216	129.2955158	-2.703512019	0.007783833	iso_ACL
IL05.5	5.5	-0.00179047	0.001291987	129.345262	-1.385826646	0.168184567	iso_ACL
IL06.1	6.1	-0.000351522	0.000910216	129.2955158	-0.386196071	0.699986232	iso_ACL
IL06.2	6.2	-0.000703293	0.000910216	129.2955158	-0.77266602	0.441130218	iso_ACL
IL06.2.2	6.2.2	-0.002109133	0.000910216	129.2955158	-2.317179297	0.022065784	iso_ACL
IL06.3	6.3	-0.001757983	0.000910216	129.2955158	-1.931391458	0.05562284	iso_ACL
IL06.4	6.4	-0.001757983	0.000910216	129.2955158	-1.931391458	0.05562284	iso_ACL
IL07.2	7.2	-0.001406585	0.000910216	129.2955158	-1.545331464	0.124710241	iso_ACL
IL07.3	7.3	5.68E-14	0.000910216	129.2955158	6.24E-11	1	iso_ACL
IL07.4	7.4	-0.00140646	0.000910216	129.2955158	-1.545194813	0.124743274	iso_ACL
IL07.4.1	7.4.1	-0.000436026	0.001019172	129.3160451	-0.427823171	0.669491491	iso_ACL
IL07.5	7.5	5.68E-14	0.000910216	129.2955158	6.24E-11	1	iso_ACL
IL07.5.5	7.5.5	0.000703667	0.000910216	129.2955158	0.773077701	0.440887417	iso_ACL
IL08.1	8.1	0.000351896	0.000910216	129.2955158	0.386607752	0.699682138	iso_ACL
IL08.1.1	8.1.1	-0.000351771	0.000910216	129.2955158	-0.386469948	0.699783923	iso_ACL
IL08.1.3	8.1.3	-0.000735531	0.001291987	129.345262	-0.569302594	0.570138127	iso_ACL
IL08.2.1	8.2.1	-0.002109504	0.000910216	129.2955158	-2.317587529	0.022042844	iso_ACL
IL08.3	8.3	-0.001054939	0.000910216	129.2955158	-1.158998742	0.248592752	iso_ACL
IL08.3.1	8.3.1	-0.001406337	0.000910216	129.2955158	-1.545058736	0.124776176	iso_ACL
IL09.1	9.1	-0.001054691	0.000910216	129.2955158	-1.158726014	0.248703534	iso_ACL
IL09.1.2	9.1.2	-0.001757858	0.000910216	129.2955158	-1.931254807	0.055639903	iso_ACL
IL09.1.3	9.1.3	0.000351646	0.000910216	129.2955158	0.386332722	0.699885287	iso_ACL
IL09.2	9.2	0.000351646	0.000910216	129.2955158	0.386332722	0.699885287	iso_ACL
IL09.2.5	9.2.5	2.49E-07	0.000910216	129.2955158	0.000273877	0.9997819	iso_ACL
IL09.2.6	9.2.6	-0.001406337	0.000910216	129.2955158	-1.545058736	0.124776176	iso_ACL
IL09.3	9.3	-0.001757858	0.000910216	129.2955158	-1.931254807	0.055639903	iso_ACL
IL09.3.1	9.3.1	-0.002460779	0.000910216	129.2955158	-2.703512019	0.007783833	iso_ACL
IL09.3.2	9.3.2	-0.001054939	0.000910216	129.2955158	-1.158998742	0.248592752	iso_ACL
IL01.1	1.1	0.616405094	0.255312169	126.9985633	2.414319291	0.017190517	iso_CPI
IL01.1.2	1.1.2	0.833759281	0.255312169	126.9985633	3.265646465	0.001404174	iso_CPI
IL01.1.3	1.1.3	0.294048773	0.362425986	127.0296691	0.811334686	0.418691099	iso_CPI
IL01.2	1.2	0.222890066	0.255312169	126.9985633	0.87300996	0.384305318	iso_CPI
IL01.3	1.3	0.609462648	0.285878254	127.0110897	2.131895792	0.034940984	iso_CPI
IL01.4	1.4	0.362324498	0.255312169	126.9985633	1.419143082	0.158307009	iso_CPI
IL01.4.18	1.4.18	1.070505801	0.255312169	126.9985633	4.19292902	5.12E-05	iso_CPI
IL10.1	10.1	0.003327307	0.255312169	126.9985633	0.01303231	0.989622466	iso_CPI
IL10.1.1	10.1.1	0.344418295	0.285898167	127.0122576	1.204688712	0.23056345	iso_CPI
IL10.2	10.2	0.782141334	0.255312169	126.9985633	3.063470647	0.002671994	iso_CPI
IL10.2.2	10.2.2	0.900146373	0.255312169	126.9985633	3.525669684	0.000588256	iso_CPI
IL10.3	10.3	0.131442543	0.255312169	126.9985633	0.514830702	0.607566197	iso_CPI
IL11.1	11.1	0.350422685	0.255312169	126.9985633	1.372526374	0.172318715	iso_CPI
IL11.2	11.2	-0.122156806	0.285873276	127.0107977	-0.427311039	0.669876343	iso_CPI
IL11.3	11.3	0.472196254	0.255312169	126.9985633	1.849485891	0.066712532	iso_CPI
IL11.4	11.4	0.260723761	0.255312169	126.9985633	1.021195984	0.309102956	iso_CPI
IL11.4.1	11.4.1	0.174971276	0.255312169	126.9985633	0.685322901	0.494389198	iso_CPI
IL12.1	12.1	0.255468624	0.285898167	127.0122576	0.8935651	0.373244636	iso_CPI
IL12.1.1	12.1.1	0.350386837	0.255312169	126.9985633	1.372385964	0.172362292	iso_CPI
IL12.2	12.2	0.073349269	0.285898167	127.0122576	0.256557324	0.797935627	iso_CPI
IL12.3	12.3	0.291088004	0.255312169	126.9985633	1.140125855	0.256379522	iso_CPI
IL12.3.1	12.3.1	0.247856954	0.255312169	126.9985633	0.97079961	0.333493393	iso_CPI
IL12.4	12.4	0.248484614	0.255312169	126.9985633	0.973258013	0.332275192	iso_CPI
IL12.4.1	12.4.1	0.341341859	0.255312169	126.9985633	1.336958832	0.183626009	iso_CPI
IL02.1	2.1	0.575376235	0.255312169	126.9985633	2.253618532	0.025934672	iso_CPI
IL02.1.1	2.1.1	0.467487332	0.255312169	126.9985633	1.831042109	0.069438271	iso_CPI
IL02.3	2.3	0.634657979	0.255312169	126.9985633	2.485811711	0.014224853	iso_CPI
IL02.4	2.4	0.281277776	0.285898167	127.0122576	0.983839033	0.327065077	iso_CPI
IL02.5	2.5	0.396370684	0.255312169	126.9985633	1.552494289	0.123032509	iso_CPI
