il	anteiso_ACL	anteiso_CPI	D_iC31	D_nC31	D_iC33	D_nC33	n31.i31	n33.i33	iso_ACL	iso_CPI	mindex	nalk_ACL	nalk_CPI	pct_iso	pct_anteiso
ilIL_2.6	-0.033333333	-0.116666667	0.015564833	0.016967124	0.199396822	1.666666667	-0.133333333	0.030123446	-0.001055063	0.921871615	0.048311133	-0.000351029	0.00833716	0.200529623	0.229950522
ilIL_2.6.5	-0.047262804	-0.072934383	0.017817907	0.017601366	0.26959845	1.820330645	-0.002379978	-0.278676523	-0.002041617	0.327956009	0.05977929	-5.85E-05	-0.001527317	0.104263038	0.415072079
ilIL_3.1	-0.066666667	-0.046666667	0.016249512	0.016643665	0.211918797	1.533333333	-0.033333333	-0.149353872	-0.002109628	0.643966636	0.055145749	-0.000351029	0.06674766	0.217814681	0.267685225
ilIL_3.2	-0.033333333	-0.056666667	0.02641975	0.021056801	0.319808901	1.933333333	0.5	-0.329682275	-0.001406585	0.823465553	0.153988033	3.72E-15	-0.009250856	0.525426116	0.725658103
ilIL_3.3	-0.033333333	-0.086666667	0.007083283	0.008111295	0.12584885	0.733333333	-0.1	-0.1089166	-0.000703417	0.365087433	0.040104091	3.76E-15	-0.022685967	0.010450927	0.32465627
ilIL_3.4	-0.1	-0.116666667	0.005053724	0.007092827	0.039945425	1.1	-0.2	0.156747733	-0.000703168	0.292561749	0.022578268	0.000702181	-0.093385764	0.016377969	0.188655754
ilIL_3.5	-0.033333333	-0.06	0.026077531	0.027863544	0.328223176	2.8	-0.166666667	0.027554497	-0.001406337	0.52805562	0.013629391	0.000351152	0.059291972	0.150334013	-0.026359082
ilIL_4.1	-0.066666667	0.04	0.015562534	0.019685827	0.172700544	1.866666667	-0.366666667	0.17112191	-0.000703417	0.495497367	-0.005683267	0.000351029	0.077965292	0.115836309	-0.202046404
ilIL_4.1.1	-0.148158298	-0.085734865	0.028000476	0.02034488	0.280428435	1.779461636	0.64900388	-0.216226939	-0.003899228	0.75316306	0.030072255	-0.002575804	0.106219474	-0.038013663	0.338743246
ilIL_4.2	-0.1	-0.11	0.023366311	0.023092281	0.273684009	2.366666667	0.033333333	0.03097034	-0.002812177	0.635350649	0.011353634	-0.001403631	0.066135823	-0.13029056	0.159142274
ilIL_4.3	-0.1	-0.1	0.027656692	0.01576538	0.248997639	1.510269182	1.07549806	-0.2221758	-0.002109257	0.155365886	0.06239792	-0.000350908	0.068884961	-0.105360559	0.539124965
ilIL_4.3.2	-0.1	-0.143333333	0.017592821	0.011527621	0.229917233	1.333333333	0.566666667	0.099382439	-0.003864406	-0.008760636	0.035596191	-0.001754296	0.06875204	-0.017729313	0.315179597
ilIL_4.4	-0.033333333	-0.06	-0.000695465	-0.003419713	0.020626708	-0.433333333	0.266666667	-0.262760796	-0.001757858	0.221656258	0.017863279	0.000702059	0.063534784	-0.002710864	0.145412773
ilIL_5.1	-0.1	0.01	0.004724101	0.003372604	0.064138253	0.433333333	0.1	-0.013611791	-0.000351771	0.006558116	0.021558806	0.000702059	0.019952212	-0.016930559	0.212763617
ilIL_5.2	0.002737196	-0.112934383	0.015228705	0.010368596	0.152128881	0.770330645	0.497620022	-0.190568588	-0.000986866	0.488989916	0.05977929	0.000994788	-0.073349146	0.101370718	0.387667416
IL5.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ilIL_5.4	-0.066666667	-0.036666667	0.010810429	0.008794112	0.149324053	0.7	0.166666667	-0.228510475	-0.002460779	0.425030132	0.013629391	-0.001052723	-0.023679509	0.085328844	0.012176242
ilIL_5.5	-0.148158298	0.044265135	0.030040453	0.032624076	0.303309952	2.679461636	-0.25099612	0.059834634	-0.00179047	0.607437352	0.055906517	-0.000470722	0.05026082	0.363601585	0.154739603
ilIL_6.1	0.033333333	-0.023333333	0.020640736	0.028876565	0.282859166	2.8	-0.733333333	0.187362642	-0.000351522	0.398991867	0.032745599	0.001404362	0.053640859	0.223450378	0.047340345
ilIL_6.2	-1.13E-12	-0.076666667	0.023697659	0.02580907	0.204651406	2.366666667	-0.2	0.266818953	-0.000703293	0.580972973	0.052426002	0.000702181	-0.036553258	0.070153858	0.370028263
ilIL_6.2.2	-0.133333333	-0.08	0.012852016	0.01799761	0.199726522	1.866666667	-0.466666667	0.080344255	-0.002109133	0.950848122	0.05091186	1.22E-07	0.015348426	0.12344237	0.300513198
ilIL_6.3	-0.033333333	-0.073333333	0.018607544	0.017636385	0.184060345	1.233333333	0.1	-0.100555967	-0.001757983	0.295712565	0.052295635	0.000351029	0.039230124	0.077498152	0.325564179
ilIL_6.4	-0.133333333	0.013333333	0.016253305	0.012886831	0.13971227	1.166666667	0.3	0.020544516	-0.001757983	0.273694638	0.055841956	-0.000350908	-0.073763576	0.115288776	0.334096313
IL7.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ilIL_7.2	-1.13E-12	-0.016666667	0.010821313	0.013914001	0.103492998	1.266666667	-0.3	0.176385144	-0.001406585	0.420608103	-0.000538362	3.72E-15	0.013073105	0.115424597	-0.209661895
ilIL_7.3	0.033333333	0.02	0.010807644	0.014912206	0.142112071	1.3	-0.4	0.082065224	5.68E-14	0.2216385	-0.015470054	0.000351029	0.009672898	-0.02450118	-0.143168135
ilIL_7.4	-1.13E-12	-0.08	0.015891926	0.01355025	0.224206249	1.366666667	0.233333333	-0.249580161	-0.00140646	0.712996393	0.067611304	0.000351029	0.045970534	0.159861656	0.395047732
ilIL_7.4.1	-0.076816345	-0.004933049	0.014502498	0.014053874	0.183415459	1.519400173	0.026881918	0.011414428	-0.000436026	-0.009687237	-5.75E-05	0.000349666	0.024603106	-0.15986363	0.142425639
ilIL_7.5	-1.13E-12	-0.03	0.013518849	0.017972151	0.193600278	1.433333333	-0.433333333	-0.086375144	5.68E-14	0.492215959	0.007799047	0.000702181	0.113248076	0.082377196	-0.006474952
ilIL_7.5.5	0.066666667	0.03	0.005287276	0.013237613	0.139495328	1.060269182	-0.72450194	-0.008050281	0.000703667	0.398274492	-0.034782711	0.00105321	0.12556407	-0.04154958	-0.342300715
ilIL_8.1	-1.13E-12	-0.013333333	0.012165438	0.016952267	0.15773257	1.966666667	-0.466666667	0.271487605	0.000351896	0.273154473	-0.046591001	0.000702181	0.129055311	-0.28041023	-0.241648772
ilIL_8.1.1	-0.1	0.01	0.010808021	0.019333556	0.085251227	1.733333333	-0.833333333	0.378531815	-0.000351771	0.120018702	0.012714941	3.72E-15	-0.028864356	-0.056426382	0.144625551
ilIL_8.1.3	-0.148158298	-0.185734865	0.024942067	0.029551194	0.222692125	2.279461636	-0.45099612	0.176730549	-0.000735531	-0.392062535	0.030072255	0.000582366	0.006136015	0.111598119	0.142032952
IL8.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ilIL_8.2.1	-0.033333333	0.026666667	0.017956695	0.016649942	0.207427737	1.5	0.1	-0.070100441	-0.002109504	0.083593112	0.02414838	-0.00070133	0.035778871	0.108941168	0.062197243
ilIL_8.3	-0.066666667	-0.003333333	0.003028158	0.002012535	6.87E-05	0.233333333	0.1	0.115565525	-0.001054939	0.505550586	-0.017493623	3.72E-15	0.12138217	-0.091851153	-0.108490657
ilIL_8.3.1	-0.066666667	-0.003333333	0.028800382	0.036735892	0.296296366	3.433333333	-0.666666667	0.321725147	-0.001406337	0.384168393	0.033522104	-0.000350908	0.034162197	0.105938467	0.156685517
ilIL_9.1	-0.066666667	-0.016666667	0.014543866	0.010845145	0.137174784	0.933333333	0.333333333	-0.071459954	-0.001054691	0.225594148	0.041055256	0.000351029	0.084413506	0.218012244	0.114464742
ilIL_9.1.2	-0.033333333	0.013333333	0.014563648	0.018686519	0.220175126	1.633333333	-0.366666667	-0.112472812	-0.001757858	0.29238633	-0.000538362	3.72E-15	0.085400545	0.019593111	-0.060074201
ilIL_9.1.3	-0.1	-0.156666667	0.030508071	0.037452262	0.393512811	3.5	-0.633333333	0.069088752	0.000351646	0.544579714	0.011004646	0.001404362	0.017818647	0.268097426	-0.267116061
ilIL_9.2	-1.13E-12	0.063333333	0.016911363	0.023422435	0.227997753	2.166666667	-0.6	0.124443367	0.000351646	0.351908688	-0.040501807	0.000702181	0.077764048	-0.116453477	-0.319171321
ilIL_9.2.5	-1.13E-12	7.84E-15	0.012535969	0.01391659	0.205593255	1.266666667	-0.133333333	-0.243981084	2.49E-07	0.434828678	-0.036659204	0.000702181	0.116228494	-0.172540039	-0.239217132
ilIL_9.2.6	-0.033333333	-0.033333333	0.010357679	0.013728539	0.18419401	1.160269182	-0.32450194	-0.120480875	-0.001406337	0.230108743	0.0269558	0.000351029	0.02906824	0.021810143	0.210151962
ilIL_9.3	-0.133333333	0.053333333	0.025436652	0.027232168	0.319499245	2.933333333	-0.166666667	0.047739065	-0.001757858	0.302945897	-0.023999542	-0.001052845	0.049204547	-0.116862692	-0.140029349
ilIL_9.3.1	-0.066666667	-0.063333333	0.030490771	0.035709036	0.363049928	3.566666667	-0.466666667	0.208331375	-0.002460779	0.095843754	0.019433391	-0.001754296	-0.008161624	-0.025340883	0.147518407
ilIL_9.3.2	-0.066666667	-0.06	0.011153146	0.002010385	0.120975442	0.433333333	0.8	-0.236462462	-0.001054939	0.251688692	0.064179365	1.22E-07	0.000722714	-0.01021225	0.496663856
