il	anteiso_ACL	anteiso_CPI	eps13C_i.C31	eps13C_i.C33	eps13C_n.C31	eps13C_n.C33	iso_ACL	iso_CPI	mindex	i31.n31	i33.n33	nalk_ACL	nalk_CPI	pct_iso	pct_anteiso	Sum_Alk.area
ilIL_2.4	-0.047262804	0.052065617	0.020242347	0.2185108	0.034551273	-2.809352105	-0.000986866	0.281277776	-0.007610465	1.354840494	0.352440743	0.000994788	0.009807083	0.057969272	-0.142025879	-0.530408626
ilIL_2.5	0.033333333	-0.033333333	0.012595589	0.187138047	0.022919607	-2.366666667	0.001056068	0.396370684	0.029784616	0.966666667	0.16693702	0.002809708	0.039470623	0.026962667	0.124728546	-0.780897462
ilIL_2.6	-0.033333333	-0.116666667	0.015216779	0.184813897	0.016620064	-1.566666667	-0.001055063	0.921871615	0.048311133	0.133333333	0.015213343	-0.000351029	0.00833716	0.200529623	0.229950522	-1.418389743
ilIL_2.6.5	-0.047262804	-0.072934383	0.01776232	0.257554676	0.016803852	-1.709352105	-0.002041617	0.327956009	0.05977929	-0.095159506	-0.27350353	-5.85E-05	-0.001527317	0.104263038	0.415072079	-1.063663501
ilIL_3.1	-0.066666667	-0.046666667	0.016578729	0.2052373	0.016295482	-1.433333333	-0.002109628	0.643966636	0.055145749	-0.066666667	-0.14799436	-0.000351029	0.06674766	0.217814681	0.267685225	-0.583089862
ilIL_3.2	-0.033333333	-0.056666667	0.026065504	0.306510945	0.020365082	-1.866666667	-0.001406585	0.823465553	0.153988033	-0.6	-0.344592378	3.72E-15	-0.009250856	0.525426116	0.725658103	-0.638470524
ilIL_3.3	-0.033333333	-0.086666667	0.00707998	0.122620698	0.007432265	-0.7	-0.000703417	0.365087433	0.040104091	5.85E-14	-0.123826704	3.76E-15	-0.022685967	0.010450927	0.32465627	-1.316600602
ilIL_3.4	-0.1	-0.116666667	0.005389357	0.033498052	0.006753616	-1.033333333	-0.000703168	0.292561749	0.022578268	0.166666667	0.159741973	0.000702181	-0.093385764	0.016377969	0.188655754	-1.592035836
ilIL_3.5	-0.033333333	-0.06	0.025384032	0.318823456	0.027164881	-2.666666667	-0.001406337	0.52805562	0.013629391	0.1	0.028189815	0.000351152	0.059291972	0.150334013	-0.026359082	-0.408157433
ilIL_4.1	-0.066666667	0.04	0.014876798	0.169875285	0.018995793	-1.766666667	-0.000703417	0.495497367	-0.005683267	0.333333333	0.156211806	0.000351029	0.077965292	0.115836309	-0.202046404	-0.821865327
ilIL_4.1.1	-0.148158298	-0.085734865	0.026955458	0.26553032	0.02067723	-1.682899635	-0.003899228	0.75316306	0.030072255	-0.651825915	-0.231137042	-0.002575804	0.106219474	-0.038013663	0.338743246	0.203780271
ilIL_4.2	-0.1	-0.11	0.023013677	0.255885009	0.022399103	-2.266666667	-0.002812177	0.635350649	0.011353634	-0.133333333	0.044807175	-0.001403631	0.066135823	-0.13029056	0.159142274	-0.903198772
ilIL_4.3	-0.1	-0.1	0.026628463	0.235541703	0.015080057	-1.408550183	-0.002109257	0.155365886	0.06239792	-1.224087043	-0.237085903	-0.000350908	0.068884961	-0.105360559	0.539124965	-0.945439465
ilIL_4.3.2	-0.1	-0.143333333	0.017244076	0.219294397	0.010845029	-1.266666667	-0.003864406	-0.008760636	0.035596191	-0.666666667	0.104555432	-0.001754296	0.06875204	-0.017729313	0.315179597	-1.459753847
ilIL_4.4	-0.033333333	-0.06	-0.000694745	0.016571689	-0.003751338	0.4	-0.001757858	0.221656258	0.017863279	-0.333333333	-0.264282169	0.000702059	0.063534784	-0.002710864	0.145412773	-0.303611444
ilIL_5.1	-0.1	0.01	0.004721076	0.056228534	0.003374254	-0.366666667	-0.000351771	0.006558116	0.021558806	-0.133333333	-0.028521895	0.000702059	0.019952212	-0.016930559	0.212763617	-0.792310596
ilIL_5.2	0.002737196	-0.112934383	0.014670917	0.145327125	0.00958222	-0.759352105	-0.000986866	0.488989916	0.05977929	-0.545159506	-0.205478691	0.000994788	-0.073349146	0.101370718	0.387667416	-1.516905261
IL5.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ilIL_5.4	-0.066666667	-0.036666667	0.01046702	0.138238107	0.008793257	-0.666666667	-0.002460779	0.425030132	0.013629391	-0.233333333	-0.19030058	-0.001052723	-0.023679509	0.085328844	0.012176242	-1.256299847
ilIL_5.5	-0.148158298	0.044265135	0.028993781	0.288655268	0.030900883	-2.582899635	-0.00179047	0.607437352	0.055906517	0.148174085	0.085090724	-0.000470722	0.05026082	0.363601585	0.154739603	-0.085504453
ilIL_6.1	0.033333333	-0.023333333	0.020290472	0.272922929	0.027839559	-2.666666667	-0.000351522	0.398991867	0.032745599	0.666666667	0.18505264	0.001404362	0.053640859	0.223450378	0.047340345	-1.08438399
ilIL_6.2	-1.13E-12	-0.076666667	0.023005894	0.194113994	0.024774856	-2.233333333	-0.000703293	0.580972973	0.052426002	0.1	0.251908849	0.000702181	-0.036553258	0.070153858	0.370028263	-0.621315608
ilIL_6.2.2	-0.133333333	-0.08	0.012843926	0.189129943	0.017307671	-1.766666667	-0.002109133	0.950848122	0.05091186	0.433333333	0.065434152	1.22E-07	0.015348426	0.12344237	0.300513198	-1.839753357
ilIL_6.3	-0.033333333	-0.073333333	0.018597823	0.173353121	0.016949308	-1.166666667	-0.001757983	0.295712565	0.052295635	-0.2	-0.099920648	0.000351029	0.039230124	0.077498152	0.325564179	-0.431298808
