trait1	trait2	ord.trait1	ord.trait2	p.value	BH	BH.NA	qual.pval
iso_ACL	pct_iso.alkanes	07.iso_ACL	02.pct_iso.alkanes	3.13E-08	1.50E-07	1.50E-07	less_than_05
iso_CPI	iso_ACL	08.iso_CPI	07.iso_ACL	3.87E-08	1.78E-07	1.78E-07	less_than_05
iso_ACL	iso_CPI	07.iso_ACL	08.iso_CPI	3.87E-08	1.78E-07	1.78E-07	less_than_05
Methyl_Index	iso_CPI	04.Methyl_Index	08.iso_CPI	8.96E-08	3.98E-07	3.98E-07	less_than_05
iso_CPI	Methyl_Index	08.iso_CPI	04.Methyl_Index	8.96E-08	3.98E-07	3.98E-07	less_than_05
pct_anteiso.alkanes	anteiso_ACL	03.pct_anteiso.alkanes	05.anteiso_ACL	1.43E-07	6.12E-07	6.12E-07	less_than_05
anteiso_ACL	pct_anteiso.alkanes	05.anteiso_ACL	03.pct_anteiso.alkanes	1.43E-07	6.12E-07	6.12E-07	less_than_05
Sum_Alk.area	anteiso_CPI	10.Sum_Alk.area	09.anteiso_CPI	4.96E-07	2.05E-06	2.05E-06	less_than_05
anteiso_CPI	Sum_Alk.area	09.anteiso_CPI	10.Sum_Alk.area	4.96E-07	2.05E-06	2.05E-06	less_than_05
n.alkane_ACL	iso_CPI	06.n.alkane_ACL	08.iso_CPI	9.25E-07	3.70E-06	3.70E-06	less_than_05
iso_CPI	n.alkane_ACL	08.iso_CPI	06.n.alkane_ACL	9.25E-07	3.70E-06	3.70E-06	less_than_05
iso_CPI	anteiso_CPI	08.iso_CPI	09.anteiso_CPI	2.95E-06	1.14E-05	1.14E-05	less_than_05
anteiso_CPI	iso_CPI	09.anteiso_CPI	08.iso_CPI	2.95E-06	1.14E-05	1.14E-05	less_than_05
Methyl_Index	anteiso_ACL	04.Methyl_Index	05.anteiso_ACL	3.59E-06	1.35E-05	1.35E-05	less_than_05
anteiso_ACL	Methyl_Index	05.anteiso_ACL	04.Methyl_Index	3.59E-06	1.35E-05	1.35E-05	less_than_05
n33.i33	eps13C_n.C33	16.n33.i33	12.eps13C_n.C33	4.97E-06	1.81E-05	1.81E-05	less_than_05
eps13C_n.C33	n33.i33	12.eps13C_n.C33	16.n33.i33	4.97E-06	1.81E-05	1.81E-05	less_than_05
n33.i33	eps13C_n.C31	16.n33.i33	11.eps13C_n.C31	2.78E-05	9.81E-05	9.81E-05	less_than_05
eps13C_n.C31	n33.i33	11.eps13C_n.C31	16.n33.i33	2.78E-05	9.81E-05	9.81E-05	less_than_05
n.alkane_ACL	Methyl_Index	06.n.alkane_ACL	04.Methyl_Index	5.06E-05	0.000173327	0.000173327	less_than_05
Methyl_Index	n.alkane_ACL	04.Methyl_Index	06.n.alkane_ACL	5.06E-05	0.000173327	0.000173327	less_than_05
pct_anteiso.alkanes	n.alkane_ACL	03.pct_anteiso.alkanes	06.n.alkane_ACL	8.62E-05	0.000287238	0.000287238	less_than_05
n.alkane_ACL	pct_anteiso.alkanes	06.n.alkane_ACL	03.pct_anteiso.alkanes	8.62E-05	0.000287238	0.000287238	less_than_05
n31.i31	eps13C_i.C33	15.n31.i31	14.eps13C_i.C33	0.000149127	0.000483657	0.000483657	less_than_05
eps13C_i.C33	n31.i31	14.eps13C_i.C33	15.n31.i31	0.000149127	0.000483657	0.000483657	less_than_05
Sum_Alk.area	n.alkane_ACL	10.Sum_Alk.area	06.n.alkane_ACL	0.000276813	0.000874146	0.000874146	less_than_05
n.alkane_ACL	Sum_Alk.area	06.n.alkane_ACL	10.Sum_Alk.area	0.000276813	0.000874146	0.000874146	less_than_05
pct_iso.alkanes	anteiso_CPI	02.pct_iso.alkanes	09.anteiso_CPI	0.00029889	0.000919662	0.000919662	less_than_05
anteiso_CPI	pct_iso.alkanes	09.anteiso_CPI	02.pct_iso.alkanes	0.00029889	0.000919662	0.000919662	less_than_05
n31.i31	eps13C_i.C31	15.n31.i31	13.eps13C_i.C31	0.001955911	0.005867733	0.005867733	less_than_05
eps13C_i.C31	n31.i31	13.eps13C_i.C31	15.n31.i31	0.001955911	0.005867733	0.005867733	less_than_05
n.alkane_CPI	anteiso_ACL	01.n.alkane_CPI	05.anteiso_ACL	0.002873726	0.008410904	0.008410904	less_than_05
anteiso_ACL	n.alkane_CPI	05.anteiso_ACL	01.n.alkane_CPI	0.002873726	0.008410904	0.008410904	less_than_05
pct_iso.alkanes	n.alkane_ACL	02.pct_iso.alkanes	06.n.alkane_ACL	0.003436963	0.009819894	0.009819894	less_than_05
n.alkane_ACL	pct_iso.alkanes	06.n.alkane_ACL	02.pct_iso.alkanes	0.003436963	0.009819894	0.009819894	less_than_05
pct_anteiso.alkanes	iso_CPI	03.pct_anteiso.alkanes	08.iso_CPI	0.004280356	0.01194518	0.01194518	less_than_05
iso_CPI	pct_anteiso.alkanes	08.iso_CPI	03.pct_anteiso.alkanes	0.004280356	0.01194518	0.01194518	less_than_05
n.alkane_ACL	anteiso_CPI	06.n.alkane_ACL	09.anteiso_CPI	0.004938998	0.013469995	0.013469995	less_than_05
anteiso_CPI	n.alkane_ACL	09.anteiso_CPI	06.n.alkane_ACL	0.004938998	0.013469995	0.013469995	less_than_05
Sum_Alk.area	iso_CPI	10.Sum_Alk.area	08.iso_CPI	0.005693486	0.015182629	0.015182629	less_than_05
iso_CPI	Sum_Alk.area	08.iso_CPI	10.Sum_Alk.area	0.005693486	0.015182629	0.015182629	less_than_05
n.alkane_CPI	anteiso_CPI	01.n.alkane_CPI	09.anteiso_CPI	0.007717156	0.02013171	0.02013171	less_than_05
anteiso_CPI	n.alkane_CPI	09.anteiso_CPI	01.n.alkane_CPI	0.007717156	0.02013171	0.02013171	less_than_05
pct_iso.alkanes	anteiso_ACL	02.pct_iso.alkanes	05.anteiso_ACL	0.009247813	0.023611437	0.023611437	less_than_05
anteiso_ACL	pct_iso.alkanes	05.anteiso_ACL	02.pct_iso.alkanes	0.009247813	0.023611437	0.023611437	less_than_05
Sum_Alk.area	n.alkane_CPI	10.Sum_Alk.area	01.n.alkane_CPI	0.020826283	0.052065707	0.052065707	less_than_05
n.alkane_CPI	Sum_Alk.area	01.n.alkane_CPI	10.Sum_Alk.area	0.020826283	0.052065707	0.052065707	less_than_05
n31.i31	anteiso_CPI	15.n31.i31	09.anteiso_CPI	0.03744939	0.091712792	0.091712792	less_than_05
anteiso_CPI	n31.i31	09.anteiso_CPI	15.n31.i31	0.03744939	0.091712792	0.091712792	less_than_05
iso_CPI	anteiso_ACL	08.iso_CPI	05.anteiso_ACL	0.038500876	0.092402102	0.092402102	less_than_05
anteiso_ACL	iso_CPI	05.anteiso_ACL	08.iso_CPI	0.038500876	0.092402102	0.092402102	less_than_05
n.alkane_CPI	iso_ACL	01.n.alkane_CPI	07.iso_ACL	0.041830067	0.098423686	0.098423686	less_than_05
iso_ACL	n.alkane_CPI	07.iso_ACL	01.n.alkane_CPI	0.041830067	0.098423686	0.098423686	less_than_05
pct_iso.alkanes	eps13C_i.C31	02.pct_iso.alkanes	13.eps13C_i.C31	0.052568427	0.121311754	0.121311754	less_than_05
eps13C_i.C31	pct_iso.alkanes	13.eps13C_i.C31	02.pct_iso.alkanes	0.052568427	0.121311754	0.121311754	less_than_05
pct_iso.alkanes	eps13C_i.C33	02.pct_iso.alkanes	14.eps13C_i.C33	0.064573059	0.146203153	0.146203153	less_than_05
eps13C_i.C33	pct_iso.alkanes	14.eps13C_i.C33	02.pct_iso.alkanes	0.064573059	0.146203153	0.146203153	less_than_05
Sum_Alk.area	Methyl_Index	10.Sum_Alk.area	04.Methyl_Index	0.066124483	0.146943297	0.146943297	less_than_05
Methyl_Index	Sum_Alk.area	04.Methyl_Index	10.Sum_Alk.area	0.066124483	0.146943297	0.146943297	less_than_05
Sum_Alk.area	pct_iso.alkanes	10.Sum_Alk.area	02.pct_iso.alkanes	0.067715668	0.147743275	0.147743275	less_than_05
pct_iso.alkanes	Sum_Alk.area	02.pct_iso.alkanes	10.Sum_Alk.area	0.067715668	0.147743275	0.147743275	less_than_05
pct_iso.alkanes	eps13C_n.C31	02.pct_iso.alkanes	11.eps13C_n.C31	0.081944212	0.175594739	0.175594739	less_than_05
eps13C_n.C31	pct_iso.alkanes	11.eps13C_n.C31	02.pct_iso.alkanes	0.081944212	0.175594739	0.175594739	less_than_05
Sum_Alk.area	pct_anteiso.alkanes	10.Sum_Alk.area	03.pct_anteiso.alkanes	0.101590097	0.213873889	0.213873889	less_than_05
pct_anteiso.alkanes	Sum_Alk.area	03.pct_anteiso.alkanes	10.Sum_Alk.area	0.101590097	0.213873889	0.213873889	less_than_05
n33.i33	eps13C_i.C31	16.n33.i33	13.eps13C_i.C31	0.104035839	0.215246564	0.215246564	less_than_05
eps13C_i.C31	n33.i33	13.eps13C_i.C31	16.n33.i33	0.104035839	0.215246564	0.215246564	less_than_05
pct_iso.alkanes	eps13C_n.C33	02.pct_iso.alkanes	12.eps13C_n.C33	0.121528537	0.243759515	0.243759515	less_than_05
n33.i33	n.alkane_CPI	16.n33.i33	01.n.alkane_CPI	0.121879758	0.243759515	0.243759515	less_than_05
n.alkane_CPI	n33.i33	01.n.alkane_CPI	16.n33.i33	0.121879758	0.243759515	0.243759515	less_than_05
eps13C_n.C33	pct_iso.alkanes	12.eps13C_n.C33	02.pct_iso.alkanes	0.121528537	0.243759515	0.243759515	less_than_05
n.alkane_CPI	n.alkane_ACL	01.n.alkane_CPI	06.n.alkane_ACL	0.127219014	0.250266913	0.250266913	less_than_05
n.alkane_ACL	n.alkane_CPI	06.n.alkane_ACL	01.n.alkane_CPI	0.127219014	0.250266913	0.250266913	less_than_05
Sum_Alk.area	n31.i31	10.Sum_Alk.area	15.n31.i31	0.143295631	0.277346382	0.277346382	less_than_05
n31.i31	Sum_Alk.area	15.n31.i31	10.Sum_Alk.area	0.143295631	0.277346382	0.277346382	less_than_05
Sum_Alk.area	iso_ACL	10.Sum_Alk.area	07.iso_ACL	0.154193656	0.293702201	0.293702201	less_than_05
iso_ACL	Sum_Alk.area	07.iso_ACL	10.Sum_Alk.area	0.154193656	0.293702201	0.293702201	less_than_05
eps13C_n.C31	anteiso_CPI	11.eps13C_n.C31	09.anteiso_CPI	0.177889511	0.333542833	0.333542833	less_than_05
anteiso_CPI	eps13C_n.C31	09.anteiso_CPI	11.eps13C_n.C31	0.177889511	0.333542833	0.333542833	less_than_05
anteiso_CPI	anteiso_ACL	09.anteiso_CPI	05.anteiso_ACL	0.208798823	0.369421909	0.369421909	less_than_05
eps13C_n.C33	anteiso_CPI	12.eps13C_n.C33	09.anteiso_CPI	0.204228236	0.369421909	0.369421909	less_than_05
anteiso_ACL	anteiso_CPI	05.anteiso_ACL	09.anteiso_CPI	0.208798823	0.369421909	0.369421909	less_than_05
n.alkane_CPI	eps13C_i.C31	01.n.alkane_CPI	13.eps13C_i.C31	0.204950153	0.369421909	0.369421909	less_than_05
n.alkane_CPI	eps13C_n.C31	01.n.alkane_CPI	11.eps13C_n.C31	0.209339082	0.369421909	0.369421909	less_than_05
anteiso_CPI	eps13C_n.C33	09.anteiso_CPI	12.eps13C_n.C33	0.204228236	0.369421909	0.369421909	less_than_05
eps13C_i.C31	n.alkane_CPI	13.eps13C_i.C31	01.n.alkane_CPI	0.204950153	0.369421909	0.369421909	less_than_05
eps13C_n.C31	n.alkane_CPI	11.eps13C_n.C31	01.n.alkane_CPI	0.209339082	0.369421909	0.369421909	less_than_05
n.alkane_CPI	iso_CPI	01.n.alkane_CPI	08.iso_CPI	0.22314051	0.388070452	0.388070452	less_than_05
iso_CPI	n.alkane_CPI	08.iso_CPI	01.n.alkane_CPI	0.22314051	0.388070452	0.388070452	less_than_05
n31.i31	n.alkane_CPI	15.n31.i31	01.n.alkane_CPI	0.275217045	0.471800649	0.471800649	less_than_05
n.alkane_CPI	n31.i31	01.n.alkane_CPI	15.n31.i31	0.275217045	0.471800649	0.471800649	less_than_05
n33.i33	anteiso_CPI	16.n33.i33	09.anteiso_CPI	0.302043053	0.493733302	0.493733302	less_than_05
Methyl_Index	eps13C_i.C31	04.Methyl_Index	13.eps13C_i.C31	0.294262993	0.493733302	0.493733302	less_than_05
Methyl_Index	eps13C_n.C31	04.Methyl_Index	11.eps13C_n.C31	0.301005523	0.493733302	0.493733302	less_than_05
n.alkane_CPI	eps13C_n.C33	01.n.alkane_CPI	12.eps13C_n.C33	0.30446887	0.493733302	0.493733302	less_than_05
eps13C_n.C31	Methyl_Index	11.eps13C_n.C31	04.Methyl_Index	0.301005523	0.493733302	0.493733302	less_than_05
eps13C_i.C31	Methyl_Index	13.eps13C_i.C31	04.Methyl_Index	0.294262993	0.493733302	0.493733302	less_than_05
eps13C_n.C33	n.alkane_CPI	12.eps13C_n.C33	01.n.alkane_CPI	0.30446887	0.493733302	0.493733302	less_than_05
anteiso_CPI	n33.i33	09.anteiso_CPI	16.n33.i33	0.302043053	0.493733302	0.493733302	less_than_05
Methyl_Index	eps13C_i.C33	04.Methyl_Index	14.eps13C_i.C33	0.313084663	0.500935462	NA	NA
eps13C_i.C33	Methyl_Index	14.eps13C_i.C33	04.Methyl_Index	0.313084663	0.500935462	NA	NA
