trait1	trait2	ord.trait1	ord.trait2	p.value	BH	BH.NA	qual.pval
eps13C_n.C31	iso_ACL	11.eps13C_n.C31	07.iso_ACL	0.737564381	0.79947092	NA	NA
anteiso_ACL	n33.i33	05.anteiso_ACL	16.n33.i33	0.739510601	0.79947092	NA	NA
iso_ACL	eps13C_i.C31	07.iso_ACL	13.eps13C_i.C31	0.791762331	0.840809555	NA	NA
iso_CPI	eps13C_n.C33	08.iso_CPI	12.eps13C_n.C33	0.786639325	0.840809555	NA	NA
eps13C_i.C31	iso_ACL	13.eps13C_i.C31	07.iso_ACL	0.791762331	0.840809555	NA	NA
eps13C_n.C33	iso_CPI	12.eps13C_n.C33	08.iso_CPI	0.786639325	0.840809555	NA	NA
n31.i31	anteiso_ACL	15.n31.i31	05.anteiso_ACL	0.812257069	0.855007441	NA	NA
anteiso_ACL	n31.i31	05.anteiso_ACL	15.n31.i31	0.812257069	0.855007441	NA	NA
eps13C_i.C33	anteiso_ACL	14.eps13C_i.C33	05.anteiso_ACL	0.831222772	0.867362893	NA	NA
anteiso_ACL	eps13C_i.C33	05.anteiso_ACL	14.eps13C_i.C33	0.831222772	0.867362893	NA	NA
iso_ACL	eps13C_n.C33	07.iso_ACL	12.eps13C_n.C33	0.925910082	0.957838016	NA	NA
eps13C_n.C33	iso_ACL	12.eps13C_n.C33	07.iso_ACL	0.925910082	0.957838016	NA	NA
n31.i31	n.alkane_ACL	15.n31.i31	06.n.alkane_ACL	0.973417905	0.998377338	NA	NA
n.alkane_ACL	n31.i31	06.n.alkane_ACL	15.n31.i31	0.973417905	0.998377338	NA	NA
eps13C_n.C33	anteiso_ACL	12.eps13C_n.C33	05.anteiso_ACL	0.994976323	0.998784708	NA	NA
eps13C_n.C31	anteiso_ACL	11.eps13C_n.C31	05.anteiso_ACL	0.998784708	0.998784708	NA	NA
anteiso_ACL	eps13C_n.C31	05.anteiso_ACL	11.eps13C_n.C31	0.998784708	0.998784708	NA	NA
anteiso_ACL	eps13C_n.C33	05.anteiso_ACL	12.eps13C_n.C33	0.994976323	0.998784708	NA	NA
n33.i33	Methyl_Index	16.n33.i33	04.Methyl_Index	0.983431672	0.998784708	NA	NA
Methyl_Index	n33.i33	04.Methyl_Index	16.n33.i33	0.983431672	0.998784708	NA	NA
anteiso_ACL	anteiso_ACL	05.anteiso_ACL	05.anteiso_ACL	NA	NA	NA	NA
anteiso_CPI	anteiso_CPI	09.anteiso_CPI	09.anteiso_CPI	NA	NA	NA	NA
eps13C_i.C31	eps13C_i.C31	13.eps13C_i.C31	13.eps13C_i.C31	NA	NA	NA	NA
eps13C_i.C33	eps13C_i.C33	14.eps13C_i.C33	14.eps13C_i.C33	NA	NA	NA	NA
eps13C_n.C31	eps13C_n.C31	11.eps13C_n.C31	11.eps13C_n.C31	NA	NA	NA	NA
eps13C_n.C33	eps13C_n.C33	12.eps13C_n.C33	12.eps13C_n.C33	NA	NA	NA	NA
iso_ACL	iso_ACL	07.iso_ACL	07.iso_ACL	NA	NA	NA	NA
iso_CPI	iso_CPI	08.iso_CPI	08.iso_CPI	NA	NA	NA	NA
Methyl_Index	Methyl_Index	04.Methyl_Index	04.Methyl_Index	NA	NA	NA	NA
n.alkane_ACL	n.alkane_ACL	06.n.alkane_ACL	06.n.alkane_ACL	NA	NA	NA	NA
n.alkane_CPI	n.alkane_CPI	01.n.alkane_CPI	01.n.alkane_CPI	NA	NA	NA	NA
n31.i31	n31.i31	15.n31.i31	15.n31.i31	NA	NA	NA	NA
n33.i33	n33.i33	16.n33.i33	16.n33.i33	NA	NA	NA	NA
pct_anteiso.alkanes	pct_anteiso.alkanes	03.pct_anteiso.alkanes	03.pct_anteiso.alkanes	NA	NA	NA	NA
pct_iso.alkanes	pct_iso.alkanes	02.pct_iso.alkanes	02.pct_iso.alkanes	NA	NA	NA	NA
Sum_Alk.area	Sum_Alk.area	10.Sum_Alk.area	10.Sum_Alk.area	NA	NA	NA	NA
