trait1	trait2	ord.trait1	ord.trait2	p.value	BH	BH.NA	qual.pval
eps13C_n.C31	eps13C_i.C31	10.eps13C_n.C31	12.eps13C_i.C31	0	0	2.20E-16	less_than_05
eps13C_n.C33	eps13C_i.C31	11.eps13C_n.C33	12.eps13C_i.C31	0	0	2.20E-16	less_than_05
eps13C_i.C33	eps13C_i.C31	13.eps13C_i.C33	12.eps13C_i.C31	0	0	2.20E-16	less_than_05
eps13C_n.C31	eps13C_i.C33	10.eps13C_n.C31	13.eps13C_i.C33	0	0	2.20E-16	less_than_05
eps13C_n.C33	eps13C_i.C33	11.eps13C_n.C33	13.eps13C_i.C33	0	0	2.20E-16	less_than_05
eps13C_i.C31	eps13C_i.C33	12.eps13C_i.C31	13.eps13C_i.C33	0	0	2.20E-16	less_than_05
eps13C_i.C31	eps13C_n.C31	12.eps13C_i.C31	10.eps13C_n.C31	0	0	2.20E-16	less_than_05
eps13C_i.C33	eps13C_n.C31	13.eps13C_i.C33	10.eps13C_n.C31	0	0	2.20E-16	less_than_05
eps13C_n.C33	eps13C_n.C31	11.eps13C_n.C33	10.eps13C_n.C31	0	0	2.20E-16	less_than_05
eps13C_i.C33	eps13C_n.C33	13.eps13C_i.C33	11.eps13C_n.C33	0	0	2.20E-16	less_than_05
eps13C_n.C31	eps13C_n.C33	10.eps13C_n.C31	11.eps13C_n.C33	0	0	2.20E-16	less_than_05
eps13C_i.C31	eps13C_n.C33	12.eps13C_i.C31	11.eps13C_n.C33	0	0	2.20E-16	less_than_05
n.alkane_ACL	iso_ACL	02.n.alkane_ACL	03.iso_ACL	0	0	2.20E-16	less_than_05
pct_iso.alkanes	Methyl_Index	05.pct_iso.alkanes	07.Methyl_Index	0	0	2.20E-16	less_than_05
pct_anteiso.alkanes	Methyl_Index	06.pct_anteiso.alkanes	07.Methyl_Index	0	0	2.20E-16	less_than_05
iso_ACL	n.alkane_ACL	03.iso_ACL	02.n.alkane_ACL	0	0	2.20E-16	less_than_05
n33.i33	n31.i31	15.n33.i33	14.n31.i31	0	0	2.20E-16	less_than_05
n31.i31	n33.i33	14.n31.i31	15.n33.i33	0	0	2.20E-16	less_than_05
Methyl_Index	pct_anteiso.alkanes	07.Methyl_Index	06.pct_anteiso.alkanes	0	0	2.20E-16	less_than_05
Methyl_Index	pct_iso.alkanes	07.Methyl_Index	05.pct_iso.alkanes	0	0	2.20E-16	less_than_05
n.alkane_CPI	Methyl_Index	04.n.alkane_CPI	07.Methyl_Index	9.33E-15	8.90E-14	8.90E-14	less_than_05
Methyl_Index	n.alkane_CPI	07.Methyl_Index	04.n.alkane_CPI	9.33E-15	8.90E-14	8.90E-14	less_than_05
n31.i31	eps13C_n.C31	14.n31.i31	10.eps13C_n.C31	2.89E-14	2.53E-13	2.53E-13	less_than_05
eps13C_n.C31	n31.i31	10.eps13C_n.C31	14.n31.i31	2.89E-14	2.53E-13	2.53E-13	less_than_05
Methyl_Index	iso_ACL	07.Methyl_Index	03.iso_ACL	5.31E-14	4.29E-13	4.29E-13	less_than_05
iso_ACL	Methyl_Index	03.iso_ACL	07.Methyl_Index	5.31E-14	4.29E-13	4.29E-13	less_than_05
pct_iso.alkanes	iso_CPI	05.pct_iso.alkanes	09.iso_CPI	1.07E-13	8.04E-13	8.04E-13	less_than_05
iso_CPI	pct_iso.alkanes	09.iso_CPI	05.pct_iso.alkanes	1.07E-13	8.04E-13	8.04E-13	less_than_05
pct_anteiso.alkanes	anteiso_CPI	06.pct_anteiso.alkanes	08.anteiso_CPI	4.71E-13	3.30E-12	3.30E-12	less_than_05
anteiso_CPI	pct_anteiso.alkanes	08.anteiso_CPI	06.pct_anteiso.alkanes	4.71E-13	3.30E-12	3.30E-12	less_than_05
pct_iso.alkanes	n.alkane_CPI	05.pct_iso.alkanes	04.n.alkane_CPI	5.16E-13	3.39E-12	3.39E-12	less_than_05
n.alkane_CPI	pct_iso.alkanes	04.n.alkane_CPI	05.pct_iso.alkanes	5.16E-13	3.39E-12	3.39E-12	less_than_05
pct_anteiso.alkanes	iso_ACL	06.pct_anteiso.alkanes	03.iso_ACL	1.86E-12	1.15E-11	1.15E-11	less_than_05
iso_ACL	pct_anteiso.alkanes	03.iso_ACL	06.pct_anteiso.alkanes	1.86E-12	1.15E-11	1.15E-11	less_than_05
n31.i31	eps13C_n.C33	14.n31.i31	11.eps13C_n.C33	3.62E-12	2.11E-11	2.11E-11	less_than_05
eps13C_n.C33	n31.i31	11.eps13C_n.C33	14.n31.i31	3.62E-12	2.11E-11	2.11E-11	less_than_05
n.alkane_ACL	anteiso_ACL	02.n.alkane_ACL	01.anteiso_ACL	4.43E-12	2.45E-11	2.45E-11	less_than_05
anteiso_ACL	n.alkane_ACL	01.anteiso_ACL	02.n.alkane_ACL	4.43E-12	2.45E-11	2.45E-11	less_than_05
Methyl_Index	anteiso_CPI	07.Methyl_Index	08.anteiso_CPI	8.98E-12	4.72E-11	4.72E-11	less_than_05
anteiso_CPI	Methyl_Index	08.anteiso_CPI	07.Methyl_Index	8.98E-12	4.72E-11	4.72E-11	less_than_05
iso_ACL	anteiso_ACL	03.iso_ACL	01.anteiso_ACL	1.57E-11	7.83E-11	7.83E-11	less_than_05
