il	pct_iso-alkanes	pct_anteiso-alkanes	Methyl_Index	n-alkane_CPI	n-alkane_ACL	anteiso_CPI	anteiso_ACL	iso_CPI	iso_ACL	eps13C_i.C31	eps13C_n.C31	eps13C_i.C33	eps13C_n.C33	n31-i31	n33-i33	Sum_Alk/area
IL_11.3	5.53	5.96	0.11	10.6	31.5	0.17	32.1	11.5	31.9	-16.9	-18.4	-16.8	-17.9	1.5	1.1	1.5
IL_11.3	5.66	5.48	0.11	12.5	31.3	0.10	32.1	16.2	31.7	-15.7	-16.8	-15.3	-16.2	1.1	0.9	7.8
IL_11.4	5.78	2.92	0.09	13.3	31.5	0.19	32.3	13.1	31.9	-16.6	-18.1	-16.3	-17.7	1.4	1.4	9.7
IL_11.4	6.33	5.75	0.12	12.6	31.4	0.28	32.1	10.0	31.8	-19.4	-21.3	-18.8	-20.4	1.9	1.6	6.1
IL_11.4	7.26	7.55	0.15	10.8	31.3	0.18	32.1	10.7	31.7	-18.8	-21.3	-19.0	-21.0	2.4	2.1	8.8
IL_11.4.1	5.28	6.35	0.12	13.0	31.3	0.23	32.1	10.5	31.8	-18.7	-21.3	-18.5	-20.6	2.5	2.1	5.2
IL_11.4.1	6.55	6.93	0.13	11.8	31.3	0.27	32.1	8.7	31.8	-18.4	-20.8	-18.5	-20.2	2.4	1.7	4.2
IL_11.4.1	8.06	11.41	0.19	11.7	31.3	0.15	32.0	13.0	31.6	-19.0	-20.4	-18.7	-19.8	1.4	1.2	6.7
IL_12.1	5.97	7.75	0.14	12.6	31.2	0.20	32.1	11.4	31.7	-17.2	-18.5	-16.9	-17.9	1.3	1.0	8.7
IL_12.1	6.39	7.68	0.14	12.5	31.3	0.24	32.1	9.1	31.7	-16.9	-18.6	-16.2	-17.9	1.8	1.7	12.8
IL_12.1.1	6.28	5.10	0.11	13.5	31.3	0.25	32.1	13.6	31.8	-17.7	-20.2	-17.6	-19.6	2.5	1.9	10.8
IL_12.1.1	5.05	5.45	0.11	13.9	31.4	0.26	32.1	8.6	31.9	-18.3	-19.1	-18.3	-18.6	0.8	0.3	6.9
IL_12.1.1	7.52	8.82	0.16	10.4	31.3	0.20	32.0	13.7	31.7	-18.0	-19.5	-18.0	-19.2	1.5	1.1	9.1
IL_12.2	5.41	6.19	0.12	12.8	31.3	0.23	32.1	9.8	31.8	-17.3	-19.4	-18.0	-18.4	2.1	0.4	5.8
IL_12.2	5.14	4.86	0.10	12.1	31.4	0.19	32.1	8.4	31.9	NA	NA	NA	NA	NA	NA	3.1
IL_12.3	5.14	8.88	0.14	13.5	31.4	0.17	32.1	9.9	31.9	-16.8	-19.1	-16.6	-18.7	2.3	2.0	11.7
IL_12.3	4.98	10.61	0.16	13.6	31.4	0.16	32.1	10.6	31.8	-17.9	-20.2	-17.6	-19.8	2.4	2.1	7.2
IL_12.3	4.77	8.02	0.13	13.3	31.3	0.08	32.2	14.0	31.7	-19.0	-21.0	-18.2	-20.0	2.0	1.8	9.6
IL_12.3.1	5.43	4.11	0.10	13.0	31.5	0.35	32.1	11.6	31.9	-16.9	-18.5	-16.5	-17.8	1.6	1.3	9.5
IL_12.3.1	5.90	7.61	0.14	11.9	31.4	0.22	32.1	9.1	31.8	-15.6	-16.8	-15.3	-16.5	1.2	1.2	5.1
IL_12.3.1	6.28	9.90	0.16	12.4	31.2	0.13	32.1	12.9	31.6	-19.9	-22.1	-20.5	-22.2	2.2	1.6	10.3
