il	pct_iso-alkanes	pct_anteiso-alkanes	Methyl_Index	n-alkane_CPI	n-alkane_ACL	anteiso_CPI	anteiso_ACL	iso_CPI	iso_ACL	eps13C_i.C31	eps13C_n.C31	eps13C_i.C33	eps13C_n.C33	n31-i31	n33-i33	Sum_Alk/area
IL_8.3.1	9.50	9.17	0.19	11.8	31.2	0.18	32.0	17.0	31.6	-17.1	-18.8	-16.9	-18.4	1.7	1.6	4.2
IL_9.1	6.50	6.20	0.13	13.0	31.4	0.28	32.1	9.5	31.9	-18.2	-20.0	-17.8	-19.4	1.9	1.6	11.7
IL_9.1	7.20	6.08	0.13	13.9	31.4	0.20	32.1	8.5	31.9	-17.7	-19.6	-17.8	-18.4	1.9	0.7	1.0
IL_9.1	11.83	9.92	0.22	11.9	31.3	0.16	32.0	15.6	31.6	-18.4	-20.8	-18.0	-19.8	2.4	1.8	6.2
IL_9.1.2	6.17	4.79	0.11	12.6	31.4	0.32	32.1	10.3	31.9	-18.1	-20.1	-17.9	-19.5	2.0	1.6	4.8
IL_9.1.2	6.32	5.92	0.12	13.7	31.3	0.24	32.1	9.8	31.7	-18.5	-21.0	-18.4	-20.6	2.6	2.2	4.8
IL_9.1.2	7.29	7.23	0.15	12.5	31.3	0.17	32.1	14.5	31.6	-18.3	-20.2	-17.8	-19.0	1.9	1.1	6.9
IL_9.1.3	10.71	5.25	0.16	12.4	31.4	0.00	32.0	10.1	31.9	-16.7	-18.4	-15.9	-17.7	1.7	1.8	0.1
IL_9.1.3	6.61	2.75	0.09	13.3	31.5	0.00	32.0	16.2	32.0	-19.2	-21.6	-18.7	-20.6	2.4	1.9	1.4
IL_9.1.3	9.29	6.56	0.16	10.5	31.5	0.22	32.1	13.7	31.9	-17.5	-19.6	-17.2	-18.9	2.1	1.8	6.6
IL_9.2	4.95	3.09	0.08	13.2	31.5	0.35	32.2	11.9	32.0	-17.5	-19.2	-17.0	-18.7	1.8	1.7	7.3
IL_9.2	6.15	5.85	0.12	11.9	31.3	0.29	32.1	9.1	31.9	-18.1	-20.1	-17.8	-19.5	1.9	1.7	11.4
IL_9.2	5.80	4.41	0.10	13.4	31.4	0.24	32.1	14.9	31.9	-18.0	-20.0	-17.5	-19.0	2.0	1.5	6.5
IL_9.2.5	4.51	3.60	0.08	13.7	31.4	0.29	32.1	11.7	32.0	-17.8	-20.8	-18.5	-19.6	2.9	1.1	12.2
IL_9.2.5	5.07	3.69	0.09	13.7	31.5	0.23	32.2	12.4	32.0	-18.3	-20.1	-17.9	-19.8	1.8	1.9	2.4
IL_9.2.5	6.31	7.93	0.14	12.7	31.3	0.17	32.1	13.2	31.7	-17.4	-19.6	-17.0	-19.1	2.2	2.1	6.4
IL_9.2.6	6.67	9.22	0.16	12.1	31.4	0.14	32.1	10.2	31.9	-20.5	-22.2	-20.4	-21.5	1.7	1.1	2.7
IL_9.2.6	8.05	7.41	0.15	11.7	31.4	0.29	32.1	11.2	31.8	-17.7	-19.5	-16.7	-18.7	1.8	2.1	6.5
IL_9.2.6	5.31	7.63	0.13	12.7	31.3	0.16	32.1	11.7	31.6	-19.8	-21.9	-19.2	-21.1	2.1	1.9	10.5
IL_9.3	5.82	5.32	0.11	12.7	31.3	0.26	32.1	12.5	31.9	-18.9	-20.6	-18.2	-19.6	1.7	1.3	6.6
IL_9.3	5.39	5.83	0.11	12.7	31.2	0.26	32.0	8.9	31.6	-20.2	-22.2	-20.3	-21.6	2.0	1.4	6.1
IL_9.3	5.63	5.01	0.11	11.9	31.2	0.33	31.9	13.4	31.7	-17.6	-19.3	-17.3	-18.5	1.7	1.2	5.1
IL_9.3.1	5.58	5.59	0.11	13.0	31.2	0.26	32.1	11.2	31.7	-17.4	-19.8	-17.2	-19.1	2.4	1.9	6.9
IL_9.3.1	5.50	6.31	0.12	12.0	31.3	0.17	32.1	6.1	31.8	-16.8	-18.6	-16.9	-17.7	1.8	0.8	2.4
IL_9.3.1	7.89	11.76	0.20	10.2	31.0	0.07	32.0	14.0	31.5	-17.0	-18.7	-16.9	-17.8	1.7	1.0	11.6
IL_9.3.2	6.54	10.62	0.17	13.8	31.4	0.15	32.1	12.8	31.9	-20.7	-22.9	-20.2	-22.3	2.3	2.1	7.1
IL_9.3.2	6.37	13.54	0.20	11.3	31.4	0.15	32.1	9.9	31.8	-19.5	-20.8	-19.0	-20.5	1.3	1.5	4.8
IL_9.3.2	6.16	9.37	0.16	10.5	31.2	0.21	32.0	10.9	31.7	-16.6	-17.1	-16.1	-16.8	0.5	0.7	11.3
