trait	num.trait
n.alkane_CPI	01.n.alkane_CPI
pct_iso.alkanes	02.pct_iso.alkanes
pct_anteiso.alkanes	03.pct_anteiso.alkanes
Methyl_Index	04.Methyl_Index
anteiso_ACL	05.anteiso_ACL
n.alkane_ACL	06.n.alkane_ACL
iso_ACL	07.iso_ACL
iso_CPI	08.iso_CPI
anteiso_CPI	09.anteiso_CPI
Sum_Alk.area	10.Sum_Alk.area
eps13C_n.C31	11.eps13C_n.C31
eps13C_n.C33	12.eps13C_n.C33
eps13C_i.C31	13.eps13C_i.C31
eps13C_i.C33	14.eps13C_i.C33
n31.i31	15.n31.i31
n33.i33	16.n33.i33
